loss_variant,description,subject,role,roi,mode,best_value,beta_s,beta_c,norm_raw,norm_grid
l_rank,1 - Spearman ρ (V4),sub-01,HC,V4,argmin,0.381,0.0,-2.0,2.0,0.0333
l_rank,1 - Spearman ρ (V4),sub-02,HC,V4,argmin,0.2143,0.0,-4.0,4.0,0.0667
l_rank,1 - Spearman ρ (V4),sub-03,HC,V4,argmin,1.0238,2.0,24.0,24.08,0.4008
l_rank,1 - Spearman ρ (V4),sub-04,HC,V4,argmin,0.3095,80.0,-54.0,96.52,1.3454
l_rank,1 - Spearman ρ (V4),sub-05,HC,V4,argmin,0.7857,70.0,-28.0,75.39,0.9917
l_rank,1 - Spearman ρ (V4),sub-06,HC,V4,argmin,0.6429,46.0,58.0,74.03,1.1248
l_rank,1 - Spearman ρ (V4),sub-08,CVD,V4,argmin,0.0714,74.0,-60.0,95.27,1.3622
l_rank,1 - Spearman ρ (V4),sub-09,CVD,V4,argmin,0.9286,0.0,58.0,58.0,0.9667
l_topk_jaccard,Top-K Jaccard distance (V4),sub-01,HC,V4,argmin,0.8,0.0,-60.0,60.0,1.0
l_topk_jaccard,Top-K Jaccard distance (V4),sub-02,HC,V4,argmin,0.5,0.0,-34.0,34.0,0.5667
l_topk_jaccard,Top-K Jaccard distance (V4),sub-03,HC,V4,argmin,0.8,0.0,-60.0,60.0,1.0
l_topk_jaccard,Top-K Jaccard distance (V4),sub-04,HC,V4,argmin,0.5,62.0,-48.0,78.41,1.1138
l_topk_jaccard,Top-K Jaccard distance (V4),sub-05,HC,V4,argmin,0.8,22.0,58.0,62.03,1.005
l_topk_jaccard,Top-K Jaccard distance (V4),sub-06,HC,V4,argmin,0.5,46.0,58.0,74.03,1.1248
l_topk_jaccard,Top-K Jaccard distance (V4),sub-08,CVD,V4,argmin,0.0,58.0,-36.0,68.26,0.9411
l_topk_jaccard,Top-K Jaccard distance (V4),sub-09,CVD,V4,argmin,0.8,0.0,-60.0,60.0,1.0
l_dir,Directional loss (V4),sub-01,HC,V4,argmin,0.3046,0.0,-6.0,6.0,0.1
l_dir,Directional loss (V4),sub-02,HC,V4,argmin,0.3084,0.0,-10.0,10.0,0.1667
l_dir,Directional loss (V4),sub-03,HC,V4,argmin,0.9968,16.0,-14.0,21.26,0.3073
l_dir,Directional loss (V4),sub-04,HC,V4,argmin,0.3708,80.0,-60.0,100.0,1.4142
l_dir,Directional loss (V4),sub-05,HC,V4,argmin,0.9623,80.0,-38.0,88.57,1.1837
l_dir,Directional loss (V4),sub-06,HC,V4,argmin,0.5366,2.0,-42.0,42.05,0.7004
l_dir,Directional loss (V4),sub-08,CVD,V4,argmin,0.1354,78.0,-60.0,98.41,1.3966
l_dir,Directional loss (V4),sub-09,CVD,V4,argmin,0.8929,0.0,60.0,60.0,1.0
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-01,HC,V4,argmin,0.5093,32.0,60.0,68.0,1.077
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-02,HC,V4,argmin,0.5,0.0,-34.0,34.0,0.5667
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-03,HC,V4,argmin,0.0,0.0,-60.0,60.0,1.0
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-04,HC,V4,argmin,0.0605,62.0,-48.0,78.41,1.1138
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-05,HC,V4,argmin,0.8607,22.0,58.0,62.03,1.005
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-06,HC,V4,argmin,0.5111,0.0,-60.0,60.0,1.0
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-08,CVD,V4,argmin,0.0,58.0,-36.0,68.26,0.9411
mw_jaccard_loss,Mann-Whitney Jaccard (V4),sub-09,CVD,V4,argmin,0.5513,44.0,54.0,69.66,1.0548
