pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.025,0.0269,8,21
yellow-purple,yellow-purple_sc1,0.5,0.035,0.0206,11,20
blue-purple,blue-purple_sc0,0.8,0.19,0.0806,8,32
blue-purple,blue-purple_sc1,0.5,0.155,0.0568,8,23
red-orange,red-orange_sc0,0.8,0.19,0.0224,9,20
red-orange,red-orange_sc1,0.5,0.145,0.0403,10,20
cyan-magenta,cyan-magenta_sc0,0.8,0.055,0.0206,9,20
cyan-magenta,cyan-magenta_sc1,0.5,0.065,0.0287,9,20
green-blue,green-blue_sc0,0.8,0.1,0.0447,8,21
green-blue,green-blue_sc1,0.5,0.1,0.0224,8,21
orange-yellow,orange-yellow_sc0,0.8,0.33,0.0412,8,20
orange-yellow,orange-yellow_sc1,0.5,0.325,0.032,11,20
yellow-green,yellow-green_sc0,0.8,0.14,0.0245,12,20
yellow-green,yellow-green_sc1,0.5,0.12,0.0447,10,20
red-cyan,red-cyan_sc0,0.8,0.05,0.0224,9,20
red-cyan,red-cyan_sc1,0.5,0.05,0.0224,11,20
