subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
JHKim,1,1,no_filter,1,cyan-magenta_sc0,cyan-magenta,0.65,different,1,1.0947,0
JHKim,1,1,no_filter,2,red-orange_sc1,red-orange,0.35,different,1,1.1538,0
JHKim,1,1,no_filter,3,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.4997,0
JHKim,1,1,no_filter,4,yellow-green_sc0,yellow-green,0.65,different,1,0.4376,0
JHKim,1,1,no_filter,5,yellow-green_sc0,yellow-green,0.5,different,1,0.3949,0
JHKim,1,1,no_filter,6,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.3466,0
JHKim,1,1,no_filter,7,orange-yellow_sc0,orange-yellow,0.65,different,1,0.489,0
JHKim,1,1,no_filter,8,yellow-green_sc0,yellow-green,0.35,different,1,0.3897,0
JHKim,1,1,no_filter,9,yellow-green_sc1,yellow-green,0.35,different,1,0.3696,0
JHKim,1,1,no_filter,10,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.4429,0
JHKim,1,1,no_filter,11,orange-yellow_sc0,orange-yellow,0.5,different,1,0.4231,0
JHKim,1,1,no_filter,12,red-orange_sc0,red-orange,0.65,different,1,0.3895,0
JHKim,1,1,no_filter,13,green-blue_sc1,green-blue,0.35,different,1,0.7842,0
JHKim,1,1,no_filter,14,yellow-green_sc1,yellow-green,0.2,different,1,0.3875,0
JHKim,1,1,no_filter,15,yellow-purple_sc1,yellow-purple,0.35,different,1,0.4165,0
JHKim,1,1,no_filter,16,orange-yellow_sc0,orange-yellow,0.35,different,1,0.6336,0
JHKim,1,1,no_filter,17,red-cyan_sc0,red-cyan,0.65,different,1,0.4308,0
JHKim,1,1,no_filter,18,green-blue_sc1,green-blue,0.2,different,1,0.6125,0
JHKim,1,1,no_filter,19,yellow-green_sc0,yellow-green,0.2,different,1,0.3535,0
JHKim,1,1,no_filter,20,red-orange_sc1,red-orange,0.2,different,1,0.5278,0
JHKim,1,1,no_filter,21,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.4755,0
JHKim,1,1,no_filter,22,red-orange_sc0,red-orange,0.5,different,1,0.3019,0
JHKim,1,1,no_filter,23,yellow-green_sc0,yellow-green,0.05,different,1,0.5958,0
JHKim,1,1,no_filter,24,green-blue_sc1,green-blue,0.05,different,1,1.0968,0
JHKim,1,1,no_filter,25,blue-purple_sc1,blue-purple,0.35,different,1,0.5616,0
JHKim,1,1,no_filter,26,yellow-green_sc1,yellow-green,0.05,different,1,0.4957,0
JHKim,1,1,no_filter,27,red-orange_sc1,red-orange,0.05,different,1,0.7511,0
JHKim,1,1,no_filter,28,cyan-magenta_sc0,cyan-magenta,0.35,different,1,0.5512,0
JHKim,1,1,no_filter,29,orange-yellow_sc0,orange-yellow,0.5,same,0,1.327,1
JHKim,1,1,no_filter,30,orange-yellow_sc0,orange-yellow,0.47,different,1,0.8627,2
JHKim,1,1,no_filter,31,yellow-green_sc0,yellow-green,0.2,same,0,1.0246,1
JHKim,1,1,no_filter,32,yellow-green_sc1,yellow-green,0.2,same,0,0.833,1
JHKim,1,1,no_filter,33,cyan-magenta_sc0,cyan-magenta,0.2,different,1,1.009,0
JHKim,1,1,no_filter,34,red-orange_sc1,red-orange,0.2,same,0,0.6952,1
JHKim,1,1,no_filter,35,cyan-magenta_sc1,cyan-magenta,0.2,same,0,1.3023,1
JHKim,1,1,no_filter,36,green-blue_sc1,green-blue,0.0,different,1,0.5907,0
JHKim,1,1,no_filter,37,red-cyan_sc0,red-cyan,0.5,different,1,0.9805,0
JHKim,1,1,no_filter,38,yellow-purple_sc1,yellow-purple,0.2,different,1,0.881,0
JHKim,1,1,no_filter,39,cyan-magenta_sc0,cyan-magenta,0.05,different,1,0.6771,0
JHKim,1,1,no_filter,40,green-blue_sc0,green-blue,0.65,different,1,0.4982,0
JHKim,1,1,no_filter,41,blue-purple_sc0,blue-purple,0.65,different,1,0.6486,0
JHKim,1,1,no_filter,42,blue-purple_sc1,blue-purple,0.2,different,1,0.544,0
JHKim,1,1,no_filter,43,yellow-green_sc1,yellow-green,0.17,different,1,1.0306,2
JHKim,1,1,no_filter,44,red-cyan_sc1,red-cyan,0.35,different,1,0.5012,0
JHKim,1,1,no_filter,45,red-orange_sc1,red-orange,0.17,different,1,1.224,2
JHKim,1,1,no_filter,46,yellow-green_sc0,yellow-green,0.17,different,1,0.4772,2
JHKim,1,1,no_filter,47,yellow-green_sc0,yellow-green,0.2,same,0,0.6115,3
JHKim,1,1,no_filter,48,yellow-green_sc1,yellow-green,0.14,different,1,0.6553,2
JHKim,1,1,no_filter,49,red-orange_sc1,red-orange,0.14,different,1,1.1078,2
JHKim,1,1,no_filter,50,red-orange_sc0,red-orange,0.35,different,1,0.9081,0
JHKim,1,1,no_filter,51,orange-yellow_sc0,orange-yellow,0.44,different,1,0.8471,2
JHKim,1,1,no_filter,52,yellow-green_sc1,yellow-green,0.17,same,0,0.7793,3
JHKim,1,1,no_filter,53,orange-yellow_sc1,orange-yellow,0.65,same,0,1.3094,0
JHKim,1,1,no_filter,54,yellow-purple_sc0,yellow-purple,0.65,different,1,0.5746,0
JHKim,1,1,no_filter,55,yellow-purple_sc0,yellow-purple,0.5,different,1,0.5901,0
JHKim,1,1,no_filter,56,green-blue_sc1,green-blue,0.15,same,0,0.798,1
JHKim,1,1,no_filter,57,red-orange_sc1,red-orange,0.17,same,0,0.7826,3
JHKim,1,1,no_filter,58,green-blue_sc1,green-blue,0.3,same,0,0.764,1
JHKim,1,1,no_filter,59,yellow-purple_sc1,yellow-purple,0.05,different,1,0.5175,0
JHKim,1,1,no_filter,60,blue-purple_sc1,blue-purple,0.05,different,1,0.6344,0
JHKim,1,1,no_filter,61,red-cyan_sc1,red-cyan,0.2,different,1,1.1167,0
JHKim,1,1,no_filter,62,red-cyan_sc1,red-cyan,0.05,different,1,0.6308,0
JHKim,1,1,no_filter,63,yellow-purple_sc0,yellow-purple,0.35,different,1,0.7217,0
JHKim,1,1,no_filter,64,red-cyan_sc1,red-cyan,0.0,different,1,0.5969,0
