pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.015,0.015,9,20
yellow-purple,yellow-purple_sc1,0.5,0.02,0.0224,10,20
blue-purple,blue-purple_sc0,0.8,0.1133,0.0585,8,28
blue-purple,blue-purple_sc1,0.5,0.0917,0.076,8,35
red-orange,red-orange_sc0,0.8,0.0483,0.0398,8,26
red-orange,red-orange_sc1,0.5,0.065,0.015,11,20
cyan-magenta,cyan-magenta_sc0,0.8,0.045,0.015,8,20
cyan-magenta,cyan-magenta_sc1,0.5,0.015,0.015,11,20
green-blue,green-blue_sc0,0.8,0.1233,0.0579,8,22
green-blue,green-blue_sc1,0.5,0.08,0.0663,8,26
orange-yellow,orange-yellow_sc0,0.8,0.175,0.1401,10,66
orange-yellow,orange-yellow_sc1,0.5,0.16,0.048,9,20
yellow-green,yellow-green_sc0,0.8,0.065,0.015,10,20
yellow-green,yellow-green_sc1,0.5,0.0433,0.0314,8,22
red-cyan,red-cyan_sc0,0.8,0.015,0.015,8,20
red-cyan,red-cyan_sc1,0.5,0.015,0.015,11,20
