subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
JYPark,1,1,no_filter,1,orange-yellow_sc1,orange-yellow,0.35,different,1,0.6275,0
JYPark,1,1,no_filter,2,red-cyan_sc0,red-cyan,0.65,different,1,0.4421,0
JYPark,1,1,no_filter,3,yellow-green_sc1,yellow-green,0.35,different,1,0.5971,0
JYPark,1,1,no_filter,4,red-cyan_sc0,red-cyan,0.5,different,1,0.3566,0
JYPark,1,1,no_filter,5,blue-purple_sc1,blue-purple,0.35,different,1,0.2862,0
JYPark,1,1,no_filter,6,green-blue_sc0,green-blue,0.65,different,1,0.2881,0
JYPark,1,1,no_filter,7,green-blue_sc1,green-blue,0.35,different,1,0.24,0
JYPark,1,1,no_filter,8,yellow-purple_sc0,yellow-purple,0.65,different,1,0.2617,0
JYPark,1,1,no_filter,9,blue-purple_sc1,blue-purple,0.2,different,1,0.2229,0
JYPark,1,1,no_filter,10,red-cyan_sc1,red-cyan,0.35,different,1,0.2415,0
JYPark,1,1,no_filter,11,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.2302,0
JYPark,1,1,no_filter,12,red-cyan_sc0,red-cyan,0.35,different,1,0.2192,0
JYPark,1,1,no_filter,13,blue-purple_sc0,blue-purple,0.65,different,1,0.2026,0
JYPark,1,1,no_filter,14,orange-yellow_sc0,orange-yellow,0.65,different,1,0.2395,0
JYPark,1,1,no_filter,15,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.1589,0
JYPark,1,1,no_filter,16,yellow-purple_sc0,yellow-purple,0.5,different,1,0.2412,0
JYPark,1,1,no_filter,17,cyan-magenta_sc0,cyan-magenta,0.65,different,1,0.3073,0
JYPark,1,1,no_filter,18,green-blue_sc1,green-blue,0.2,different,1,0.228,0
JYPark,1,1,no_filter,19,orange-yellow_sc1,orange-yellow,0.2,different,1,0.2165,0
JYPark,1,1,no_filter,20,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.5073,0
JYPark,1,1,no_filter,21,blue-purple_sc0,blue-purple,0.5,different,1,0.3279,0
JYPark,1,1,no_filter,22,green-blue_sc0,green-blue,0.5,different,1,0.2743,0
JYPark,1,1,no_filter,23,yellow-purple_sc0,yellow-purple,0.35,different,1,0.1819,0
JYPark,1,1,no_filter,24,yellow-purple_sc0,yellow-purple,0.2,different,1,0.2816,0
JYPark,1,1,no_filter,25,green-blue_sc0,green-blue,0.35,different,1,0.1771,0
JYPark,1,1,no_filter,26,yellow-green_sc0,yellow-green,0.65,different,1,0.2234,0
JYPark,1,1,no_filter,27,yellow-purple_sc1,yellow-purple,0.35,different,1,0.1536,0
JYPark,1,1,no_filter,28,green-blue_sc0,green-blue,0.2,different,1,0.1911,0
JYPark,1,1,no_filter,29,yellow-purple_sc1,yellow-purple,0.2,different,1,0.2045,0
JYPark,1,1,no_filter,30,yellow-green_sc1,yellow-green,0.2,different,1,0.2442,0
JYPark,1,1,no_filter,31,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.3363,0
JYPark,1,1,no_filter,32,orange-yellow_sc1,orange-yellow,0.05,different,1,0.2605,0
JYPark,1,1,no_filter,33,blue-purple_sc0,blue-purple,0.35,different,1,0.254,0
JYPark,1,1,no_filter,34,green-blue_sc1,green-blue,0.05,different,1,0.2702,0
JYPark,1,1,no_filter,35,green-blue_sc1,green-blue,0.0,different,1,0.2983,0
JYPark,1,1,no_filter,36,green-blue_sc0,green-blue,0.05,different,1,0.2904,0
JYPark,1,1,no_filter,37,green-blue_sc1,green-blue,0.0,different,1,0.563,0
JYPark,1,1,no_filter,38,blue-purple_sc0,blue-purple,0.2,different,1,1.0767,0
JYPark,1,1,no_filter,39,orange-yellow_sc1,orange-yellow,0.2,same,0,1.2627,1
JYPark,1,1,no_filter,40,red-cyan_sc0,red-cyan,0.2,different,1,1.2065,0
JYPark,1,1,no_filter,41,cyan-magenta_sc1,cyan-magenta,0.0,different,1,1.3644,0
JYPark,1,1,no_filter,42,red-orange_sc1,red-orange,0.35,different,1,0.5696,0
JYPark,1,1,no_filter,43,blue-purple_sc1,blue-purple,0.05,different,1,0.4654,0
JYPark,1,1,no_filter,44,green-blue_sc0,green-blue,0.2,same,0,1.1999,1
JYPark,1,1,no_filter,45,green-blue_sc0,green-blue,0.17,different,1,0.9506,2
JYPark,1,1,no_filter,46,green-blue_sc0,green-blue,0.14,different,1,1.3958,2
JYPark,1,1,no_filter,47,yellow-purple_sc0,yellow-purple,0.05,different,1,1.1375,0
JYPark,1,1,no_filter,48,yellow-green_sc0,yellow-green,0.5,different,1,0.7393,0
JYPark,1,1,no_filter,49,red-cyan_sc0,red-cyan,0.05,different,1,0.4313,0
JYPark,1,1,no_filter,50,orange-yellow_sc0,orange-yellow,0.5,different,1,0.4411,0
JYPark,1,1,no_filter,51,red-orange_sc1,red-orange,0.2,different,1,0.3944,0
JYPark,1,1,no_filter,52,yellow-purple_sc1,yellow-purple,0.05,different,1,0.3993,0
JYPark,1,1,no_filter,53,orange-yellow_sc0,orange-yellow,0.35,different,1,0.6861,0
JYPark,1,1,no_filter,54,yellow-purple_sc0,yellow-purple,0.0,different,1,0.4657,0
JYPark,1,1,no_filter,55,green-blue_sc0,green-blue,0.17,same,0,0.7347,3
JYPark,1,1,no_filter,56,red-cyan_sc0,red-cyan,0.0,different,1,0.6185,0
JYPark,1,1,no_filter,57,green-blue_sc0,green-blue,0.14,different,1,0.8971,4
JYPark,1,1,no_filter,58,red-orange_sc1,red-orange,0.05,different,1,0.3956,0
JYPark,1,1,no_filter,59,red-cyan_sc0,red-cyan,0.0,different,1,0.503,0
JYPark,1,1,no_filter,60,green-blue_sc0,green-blue,0.17,same,0,0.9691,5
JYPark,1,1,no_filter,61,green-blue_sc0,green-blue,0.14,different,1,1.5311,6
JYPark,1,1,no_filter,62,blue-purple_sc0,blue-purple,0.35,same,0,1.4158,1
JYPark,1,1,no_filter,63,orange-yellow_sc1,orange-yellow,0.17,different,1,2.3464,2
JYPark,1,1,no_filter,64,orange-yellow_sc0,orange-yellow,0.2,different,1,0.8088,0
JYPark,1,1,no_filter,65,yellow-green_sc1,yellow-green,0.05,different,1,1.1801,0
JYPark,1,1,no_filter,66,red-orange_sc1,red-orange,0.2,same,0,1.1769,1
JYPark,1,1,no_filter,67,yellow-green_sc0,yellow-green,0.35,different,1,0.6504,0
JYPark,1,1,no_filter,68,red-orange_sc1,red-orange,0.17,different,1,0.6279,2
JYPark,1,1,no_filter,69,red-orange_sc0,red-orange,0.65,different,1,0.4428,0
JYPark,1,1,no_filter,70,yellow-green_sc0,yellow-green,0.2,different,1,0.4796,0
JYPark,1,1,no_filter,71,yellow-purple_sc1,yellow-purple,0.0,different,1,0.5006,0
JYPark,1,1,no_filter,72,blue-purple_sc0,blue-purple,0.32,different,1,1.1225,2
JYPark,1,1,no_filter,73,red-orange_sc0,red-orange,0.5,different,1,0.5331,0
JYPark,1,1,no_filter,74,red-cyan_sc1,red-cyan,0.2,different,1,0.4399,0
JYPark,1,1,no_filter,75,blue-purple_sc0,blue-purple,0.29,different,1,0.7084,2
JYPark,1,1,no_filter,76,yellow-purple_sc0,yellow-purple,0.0,different,1,0.4352,0
