pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.015,0.015,9,20
yellow-purple,yellow-purple_sc1,0.5,0.02,0.0224,10,20
blue-purple,blue-purple_sc0,0.8,0.155,0.0377,8,24
blue-purple,blue-purple_sc1,0.5,0.16,0.0539,8,38
red-orange,red-orange_sc0,0.8,0.08,0.0346,8,22
red-orange,red-orange_sc1,0.5,0.14,0.03,8,20
cyan-magenta,cyan-magenta_sc0,0.8,0.035,0.0269,8,25
cyan-magenta,cyan-magenta_sc1,0.5,0.02,0.0224,8,21
green-blue,green-blue_sc0,0.8,0.06,0.0224,8,20
green-blue,green-blue_sc1,0.5,0.065,0.015,10,20
orange-yellow,orange-yellow_sc0,0.8,0.275,0.0415,10,20
orange-yellow,orange-yellow_sc1,0.5,0.22,0.0224,12,20
yellow-green,yellow-green_sc0,0.8,0.095,0.015,10,20
yellow-green,yellow-green_sc1,0.5,0.11,0.0245,10,20
red-cyan,red-cyan_sc0,0.8,0.02,0.0224,8,20
red-cyan,red-cyan_sc1,0.5,0.025,0.0206,10,20
