subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
MJChoi,1,1,no_filter,1,orange-yellow_sc0,orange-yellow,0.65,different,1,1.2081,0
MJChoi,1,1,no_filter,2,red-orange_sc0,red-orange,0.65,different,1,0.9279,0
MJChoi,1,1,no_filter,3,orange-yellow_sc0,orange-yellow,0.5,different,1,0.626,0
MJChoi,1,1,no_filter,4,yellow-green_sc0,yellow-green,0.65,different,1,0.5376,0
MJChoi,1,1,no_filter,5,orange-yellow_sc0,orange-yellow,0.35,different,1,0.6725,0
MJChoi,1,1,no_filter,6,orange-yellow_sc1,orange-yellow,0.35,different,1,0.6556,0
MJChoi,1,1,no_filter,7,orange-yellow_sc1,orange-yellow,0.2,different,1,1.0924,0
MJChoi,1,1,no_filter,8,yellow-green_sc0,yellow-green,0.5,different,1,0.5595,0
MJChoi,1,1,no_filter,9,blue-purple_sc1,blue-purple,0.35,different,1,0.7025,0
MJChoi,1,1,no_filter,10,red-cyan_sc0,red-cyan,0.65,different,1,0.571,0
MJChoi,1,1,no_filter,11,red-orange_sc1,red-orange,0.35,different,1,0.5726,0
MJChoi,1,1,no_filter,12,cyan-magenta_sc0,cyan-magenta,0.65,different,1,0.6148,0
MJChoi,1,1,no_filter,13,red-orange_sc1,red-orange,0.2,different,1,0.5891,0
MJChoi,1,1,no_filter,14,blue-purple_sc1,blue-purple,0.2,different,1,1.3962,0
MJChoi,1,1,no_filter,15,yellow-green_sc1,yellow-green,0.35,different,1,0.6751,0
MJChoi,1,1,no_filter,16,yellow-purple_sc1,yellow-purple,0.35,different,1,0.6506,0
MJChoi,1,1,no_filter,17,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.608,0
MJChoi,1,1,no_filter,18,green-blue_sc0,green-blue,0.65,different,1,0.7391,0
MJChoi,1,1,no_filter,19,red-orange_sc0,red-orange,0.5,different,1,0.7196,0
MJChoi,1,1,no_filter,20,red-cyan_sc0,red-cyan,0.5,different,1,0.5811,0
MJChoi,1,1,no_filter,21,red-orange_sc1,red-orange,0.05,different,1,0.9821,0
MJChoi,1,1,no_filter,22,blue-purple_sc1,blue-purple,0.35,same,0,1.4642,1
MJChoi,1,1,no_filter,23,yellow-green_sc1,yellow-green,0.2,different,1,0.7726,0
MJChoi,1,1,no_filter,24,yellow-purple_sc1,yellow-purple,0.2,different,1,0.6764,0
MJChoi,1,1,no_filter,25,yellow-purple_sc1,yellow-purple,0.05,different,1,0.6711,0
MJChoi,1,1,no_filter,26,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.6698,0
MJChoi,1,1,no_filter,27,yellow-purple_sc0,yellow-purple,0.65,different,1,0.569,0
MJChoi,1,1,no_filter,28,yellow-purple_sc0,yellow-purple,0.5,different,1,0.7421,0
MJChoi,1,1,no_filter,29,yellow-green_sc1,yellow-green,0.05,different,1,0.7348,0
MJChoi,1,1,no_filter,30,yellow-purple_sc0,yellow-purple,0.35,different,1,0.6149,0
MJChoi,1,1,no_filter,31,blue-purple_sc1,blue-purple,0.5,same,0,1.0261,1
MJChoi,1,1,no_filter,32,yellow-purple_sc1,yellow-purple,0.0,different,1,0.7935,0
MJChoi,1,1,no_filter,33,blue-purple_sc0,blue-purple,0.95,same,0,1.0702,0
MJChoi,1,1,no_filter,34,blue-purple_sc1,blue-purple,0.65,same,0,1.3505,1
MJChoi,1,1,no_filter,35,yellow-green_sc0,yellow-green,0.35,different,1,0.695,0
MJChoi,1,1,no_filter,36,green-blue_sc0,green-blue,0.5,different,1,0.5895,0
MJChoi,1,1,no_filter,37,red-orange_sc1,red-orange,0.2,same,0,1.0905,1
MJChoi,1,1,no_filter,38,yellow-green_sc1,yellow-green,0.2,same,0,0.8935,1
MJChoi,1,1,no_filter,39,yellow-purple_sc1,yellow-purple,0.15,same,0,0.7502,1
MJChoi,1,1,no_filter,40,yellow-green_sc1,yellow-green,0.17,different,1,1.2757,2
MJChoi,1,1,no_filter,41,red-orange_sc0,red-orange,0.35,different,1,1.3663,0
MJChoi,1,1,no_filter,42,yellow-green_sc1,yellow-green,0.14,different,1,1.3915,2
MJChoi,1,1,no_filter,43,yellow-purple_sc0,yellow-purple,0.2,different,1,0.7918,0
MJChoi,1,1,no_filter,44,red-cyan_sc0,red-cyan,0.35,different,1,0.7184,0
MJChoi,1,1,no_filter,45,blue-purple_sc0,blue-purple,0.8,different,1,1.0541,1
MJChoi,1,1,no_filter,46,green-blue_sc1,green-blue,0.35,different,1,0.6559,0
MJChoi,1,1,no_filter,47,green-blue_sc1,green-blue,0.2,different,1,0.6253,0
MJChoi,1,1,no_filter,48,green-blue_sc0,green-blue,0.35,different,1,0.7304,0
MJChoi,1,1,no_filter,49,red-cyan_sc0,red-cyan,0.2,different,1,0.8218,0
MJChoi,1,1,no_filter,50,red-cyan_sc1,red-cyan,0.35,different,1,0.6165,0
MJChoi,1,1,no_filter,51,green-blue_sc0,green-blue,0.2,different,1,0.6672,0
MJChoi,1,1,no_filter,52,orange-yellow_sc0,orange-yellow,0.2,different,1,0.7435,0
MJChoi,1,1,no_filter,53,green-blue_sc1,green-blue,0.05,different,1,0.9955,0
MJChoi,1,1,no_filter,54,blue-purple_sc1,blue-purple,0.62,different,1,0.8541,2
MJChoi,1,1,no_filter,55,green-blue_sc0,green-blue,0.05,different,1,0.7481,0
MJChoi,1,1,no_filter,56,yellow-purple_sc0,yellow-purple,0.05,different,1,0.6748,0
MJChoi,1,1,no_filter,57,green-blue_sc0,green-blue,0.2,same,0,1.0623,1
MJChoi,1,1,no_filter,58,red-cyan_sc0,red-cyan,0.05,different,1,0.8297,0
MJChoi,1,1,no_filter,59,green-blue_sc0,green-blue,0.17,different,1,0.8093,2
MJChoi,1,1,no_filter,60,orange-yellow_sc0,orange-yellow,0.35,same,0,1.1026,1
MJChoi,1,1,no_filter,61,yellow-green_sc0,yellow-green,0.2,different,1,0.7994,0
MJChoi,1,1,no_filter,62,blue-purple_sc0,blue-purple,0.65,different,1,0.7655,1
MJChoi,1,1,no_filter,63,green-blue_sc1,green-blue,0.2,same,0,0.8543,1
MJChoi,1,1,no_filter,64,orange-yellow_sc0,orange-yellow,0.32,different,1,2.0241,2
MJChoi,1,1,no_filter,65,yellow-purple_sc1,yellow-purple,0.12,different,1,0.9671,2
MJChoi,1,1,no_filter,66,red-orange_sc1,red-orange,0.17,different,1,1.5841,2
MJChoi,1,1,no_filter,67,green-blue_sc0,green-blue,0.14,different,1,1.6328,2
MJChoi,1,1,no_filter,68,yellow-green_sc0,yellow-green,0.05,different,1,1.1849,0
MJChoi,1,1,no_filter,69,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.8013,0
MJChoi,1,1,no_filter,70,red-cyan_sc1,red-cyan,0.2,different,1,1.0188,0
MJChoi,1,1,no_filter,71,red-cyan_sc1,red-cyan,0.05,different,1,0.9034,0
MJChoi,1,1,no_filter,72,green-blue_sc1,green-blue,0.17,different,1,0.7956,2
MJChoi,1,1,no_filter,73,green-blue_sc1,green-blue,0.14,different,1,1.916,2
MJChoi,1,1,no_filter,74,blue-purple_sc0,blue-purple,0.5,different,1,1.2693,1
MJChoi,1,1,no_filter,75,blue-purple_sc0,blue-purple,0.35,different,1,0.9645,1
MJChoi,1,1,no_filter,76,red-orange_sc1,red-orange,0.14,different,1,1.1774,2
MJChoi,1,1,no_filter,77,blue-purple_sc0,blue-purple,0.2,different,1,2.486,1
MJChoi,1,1,no_filter,78,blue-purple_sc1,blue-purple,0.59,different,1,1.1333,2
MJChoi,1,1,no_filter,79,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.9965,0
MJChoi,1,1,no_filter,80,red-orange_sc0,red-orange,0.2,different,1,0.7278,0
MJChoi,1,1,no_filter,81,blue-purple_sc0,blue-purple,0.05,different,1,0.9933,1
MJChoi,1,1,no_filter,82,blue-purple_sc1,blue-purple,0.56,different,1,0.7879,2
MJChoi,1,1,no_filter,83,yellow-green_sc1,yellow-green,0.11,different,1,1.6269,2
MJChoi,1,1,no_filter,84,green-blue_sc1,green-blue,0.11,different,1,0.9855,2
MJChoi,1,1,no_filter,85,green-blue_sc1,green-blue,0.08,different,1,0.9976,2
MJChoi,1,1,no_filter,86,green-blue_sc1,green-blue,0.05,different,1,0.9393,2
MJChoi,1,1,no_filter,87,green-blue_sc1,green-blue,0.08,same,0,2.1284,3
MJChoi,1,1,no_filter,88,orange-yellow_sc0,orange-yellow,0.29,different,1,0.7815,2
MJChoi,1,1,no_filter,89,orange-yellow_sc0,orange-yellow,0.32,same,0,3.1774,3
MJChoi,1,1,no_filter,90,yellow-green_sc1,yellow-green,0.08,different,1,2.0887,2
MJChoi,1,1,no_filter,91,yellow-green_sc0,yellow-green,0.2,same,0,1.2892,1
MJChoi,1,1,no_filter,92,orange-yellow_sc0,orange-yellow,0.29,different,1,0.7918,4
MJChoi,1,1,no_filter,93,green-blue_sc1,green-blue,0.11,same,0,2.8894,3
MJChoi,1,1,no_filter,94,red-orange_sc1,red-orange,0.17,same,0,1.1115,3
MJChoi,1,1,no_filter,95,orange-yellow_sc0,orange-yellow,0.32,same,0,0.9344,5
MJChoi,1,1,no_filter,96,cyan-magenta_sc0,cyan-magenta,0.35,different,1,0.7108,0
MJChoi,1,1,no_filter,97,yellow-purple_sc0,yellow-purple,0.0,different,1,0.9214,0
MJChoi,1,1,no_filter,98,yellow-purple_sc1,yellow-purple,0.09,different,1,0.612,2
MJChoi,1,1,no_filter,99,blue-purple_sc0,blue-purple,0.08,same,0,0.937,2
MJChoi,1,1,no_filter,100,yellow-purple_sc1,yellow-purple,0.06,different,1,0.8259,2
MJChoi,1,1,no_filter,101,yellow-purple_sc1,yellow-purple,0.03,different,1,0.6996,2
MJChoi,1,1,no_filter,102,blue-purple_sc0,blue-purple,0.11,same,0,1.1999,2
MJChoi,1,1,no_filter,103,yellow-purple_sc1,yellow-purple,0.0,different,1,1.0736,2
MJChoi,1,1,no_filter,104,orange-yellow_sc1,orange-yellow,0.35,same,0,1.3972,1
MJChoi,1,1,no_filter,105,yellow-green_sc1,yellow-green,0.11,same,0,2.2635,3
MJChoi,1,1,no_filter,106,cyan-magenta_sc0,cyan-magenta,0.2,different,1,0.9335,0
MJChoi,1,1,no_filter,107,red-cyan_sc1,red-cyan,0.0,different,1,2.2658,0
MJChoi,1,1,no_filter,108,red-cyan_sc1,red-cyan,0.15,same,0,0.9049,1
MJChoi,1,1,no_filter,109,yellow-purple_sc1,yellow-purple,0.03,same,0,0.8841,3
MJChoi,1,1,no_filter,110,blue-purple_sc0,blue-purple,0.14,same,0,2.2091,2
MJChoi,1,1,no_filter,111,yellow-green_sc0,yellow-green,0.17,different,1,0.9599,2
MJChoi,1,1,no_filter,112,cyan-magenta_sc1,cyan-magenta,0.0,different,1,2.0076,0
MJChoi,1,1,no_filter,113,red-cyan_sc1,red-cyan,0.12,different,1,1.4487,2
MJChoi,1,1,no_filter,114,red-cyan_sc1,red-cyan,0.09,different,1,2.1107,2
MJChoi,1,1,no_filter,115,yellow-green_sc0,yellow-green,0.14,different,1,0.7672,2
MJChoi,1,1,no_filter,116,orange-yellow_sc1,orange-yellow,0.32,different,1,1.2075,2
MJChoi,1,1,no_filter,117,red-orange_sc1,red-orange,0.2,same,0,1.4516,3
MJChoi,1,1,no_filter,118,blue-purple_sc0,blue-purple,0.17,same,0,1.4049,2
MJChoi,1,1,no_filter,119,green-blue_sc1,green-blue,0.08,different,1,1.2119,4
MJChoi,1,1,no_filter,120,orange-yellow_sc0,orange-yellow,0.35,same,0,1.1415,5
MJChoi,1,1,no_filter,121,green-blue_sc0,green-blue,0.11,different,1,0.8119,2
MJChoi,1,1,no_filter,122,cyan-magenta_sc1,cyan-magenta,0.15,same,0,1.6355,1
