subject,method,run,dice,jaccard,overlap_frac_bold,overlap_frac_t1w,intersection_voxels,bold_voxels,t1w_voxels
1,method2_header_bbr,1,0.49586374,0.3296667703703072,0.972994,0.3327111,77354,79501,232496
1,method2_header_bbr,2,0.4995827376842499,0.3329625462418384,0.9733383059501648,0.3360272943973541,78125,80265,232496
1,method2_header_bbr,3,0.5021328926086426,0.3352319478847359,0.9744584560394288,0.3382036685943603,78631,80692,232496
1,method2_header_bbr,4,0.5038055777549744,0.3367246947348688,0.9727022051811218,0.3399370312690735,79034,81252,232496
1,method2_header_bbr,5,0.5024814009666443,0.3355426642399546,0.9738362431526184,0.3385950624942779,78722,80837,232496
1,method2_header_bbr,6,0.5048407316207886,0.3376501149816881,0.9715234637260436,0.3410252332687378,79287,81611,232496
3,method2_header_bbr,1,0.3469763398170471,0.209904031368915,0.9669756293296814,0.2114196270704269,48928,50599,231426
3,method2_header_bbr,2,0.349444717168808,0.2117134314528756,0.9668723940849304,0.2132603973150253,49354,51045,231426
3,method2_header_bbr,3,0.3493272066116333,0.2116271586399227,0.9676501750946044,0.213135078549385,49325,50974,231426
3,method2_header_bbr,4,0.3521411418914795,0.2136961855900067,0.96718829870224,0.2152567058801651,49816,51506,231426
3,method2_header_bbr,5,0.3558700680732727,0.2164488788756571,0.9692718386650084,0.217944398522377,50438,52037,231426
3,method2_header_bbr,6,0.4332456290721893,0.2765242767467832,0.9659935235977172,0.279242604970932,64624,66899,231426
6,method2_header_bbr,1,0.3301805555820465,0.1977342945417095,0.8553504943847656,0.2045751065015792,47040,54995,229940
6,method2_header_bbr,2,0.3097817599773407,0.1832791457618167,0.7813857793807983,0.1931851804256439,44421,56849,229940
6,method2_header_bbr,3,0.3766421377658844,0.2320142415473062,0.953708291053772,0.2346568703651428,53957,56576,229940
6,method2_header_bbr,4,0.378786027431488,0.2336434528648421,0.9551441073417664,0.2362355440855026,54320,56871,229940
6,method2_header_bbr,5,0.376815527677536,0.2321458516973749,0.9536333680152892,0.2347960323095321,53989,56614,229940
06,method2_header_bbr,6,0.3746216893196106,0.23048275980699928,0.9537672996520996,0.23308689892292023,53596,56194,229940
