subject,method,run,dice,jaccard,overlap_frac_bold,overlap_frac_t1w,intersection_voxels,bold_voxels,t1w_voxels
1,method3_header_mi,1,0.35769078,0.2177974712124633,0.7202245,0.23792724,54019,75003,227040
1,method3_header_mi,2,0.3574306964874267,0.2176046303824573,0.716360330581665,0.2381210327148437,54063,75469,227040
1,method3_header_mi,3,0.3581489324569702,0.218137274621654,0.7156809568405151,0.2388345599174499,54225,75767,227040
1,method3_header_mi,4,0.3583666384220123,0.218298833179716,0.7169464826583862,0.2388874143362045,54237,75650,227040
1,method3_header_mi,5,0.3578540384769439,0.2179185425694134,0.7157790660858154,0.2385614812374115,54163,75670,227040
1,method3_header_mi,6,0.3573939204216003,0.2175773746855586,0.7128187417984009,0.2384822070598602,54145,75959,227040
3,method3_header_mi,1,0.3009594976902008,0.1771349658454785,0.7657102346420288,0.1872857064008712,43098,56285,230119
3,method3_header_mi,2,0.3009777665138244,0.1771476409044608,0.7764441967010498,0.1866686344146728,42956,55324,230119
3,method3_header_mi,3,0.2999509871006012,0.1764366798562187,0.7706875801086426,0.186212345957756,42851,55601,230119
3,method3_header_mi,4,0.3030252158641815,0.1785678951273806,0.7765964865684509,0.1882373839616775,43317,55778,230119
3,method3_header_mi,5,0.3025889992713928,0.178265022148303,0.771995484828949,0.1881722062826156,43302,56091,230119
3,method3_header_mi,6,0.3409702777862549,0.2055239150030113,0.746374249458313,0.2209552377462387,50846,68124,230119
6,method3_header_mi,1,0.3289354145526886,0.1968418426497996,0.7174517512321472,0.2133834660053253,40239,56086,188576
6,method3_header_mi,2,0.271529346704483,0.1570922458619836,0.6062332391738892,0.1749427318572998,32990,54418,188576
6,method3_header_mi,3,0.3335256278514862,0.2001384703897649,0.7130102515220642,0.217673510313034,41048,57570,188576
6,method3_header_mi,4,0.3349263668060303,0.2011480810089078,0.7127465009689331,0.2188931852579116,41278,57914,188576
6,method3_header_mi,5,0.3391731977462768,0.2042194918987713,0.7263990044593811,0.2212370634078979,41720,57434,188576
06,method3_header_mi,6,0.3322314918041229,0.1992071987526333,0.7179017663002014,0.21612507104873657,40756,56771,188576
