Group,Analysis_method,ROI,N_voxels,Classification_accuracy,Reconstruction_error_deg,Novel_color_error_deg
CVD,voxelSelect,V1,83.5,1.0,22.8125,109.5625
CVD,voxelSelect,V2,57.5,1.0,11.375,52.375
CVD,voxelSelect,V3,19.5,1.0,36.75,91.0625
CVD,voxelSelect,hV4,11.0,1.0,77.0,117.0
CVD,zscore,V1,516.0,1.0,40.5625,103.0
CVD,zscore,V2,298.0,1.0,5.1875,65.4375
CVD,zscore,V3,91.0,1.0,41.375,98.75
CVD,zscore,hV4,49.0,1.0,19.5,91.6875
Non-CVD,voxelSelect,V1,66.0,1.0,7.0,80.9375
Non-CVD,voxelSelect,V2,39.0,1.0,8.25,85.4375
Non-CVD,voxelSelect,V3,12.5,1.0,20.6875,97.125
Non-CVD,voxelSelect,hV4,13.0,1.0,28.625,126.375
Non-CVD,zscore,V1,449.5,1.0,34.3125,82.0625
Non-CVD,zscore,V2,344.5,1.0,7.0,103.6875
Non-CVD,zscore,V3,84.5,1.0,4.375,53.625
Non-CVD,zscore,hV4,47.5,1.0,9.1875,80.8125
