ROI,Method,Feature_type,N_voxels,Optimal_delay_TRs,Use_PCA,N_components,Classification_accuracy,Reconstruction_error_deg,Novel_color_error_deg,Subject,Analysis_method,Group
V1,zscore_universal_hrf,zscore,481,5,True,6,1.0,6.0,83.25,sub-01,zscore,Non-CVD
V2,zscore_universal_hrf,zscore,362,3,True,6,1.0,6.75,135.875,sub-01,zscore,Non-CVD
V3,zscore_universal_hrf,zscore,95,4,True,6,1.0,4.125,64.875,sub-01,zscore,Non-CVD
hV4,zscore_universal_hrf,zscore,51,5,True,6,1.0,14.75,97.125,sub-01,zscore,Non-CVD
V1,zscore_universal_hrf,zscore,418,5,True,6,1.0,62.625,80.875,sub-02,zscore,Non-CVD
V2,zscore_universal_hrf,zscore,327,1,True,6,1.0,7.25,71.5,sub-02,zscore,Non-CVD
V3,zscore_universal_hrf,zscore,74,2,True,6,1.0,4.625,42.375,sub-02,zscore,Non-CVD
hV4,zscore_universal_hrf,zscore,44,1,True,6,1.0,3.625,64.5,sub-02,zscore,Non-CVD
V1,zscore_universal_hrf,zscore,503,3,True,6,1.0,51.125,92.875,sub-03,zscore,CVD
V2,zscore_universal_hrf,zscore,357,2,True,6,1.0,6.0,72.75,sub-03,zscore,CVD
V3,zscore_universal_hrf,zscore,100,2,True,6,1.0,77.625,122.0,sub-03,zscore,CVD
hV4,zscore_universal_hrf,zscore,58,3,True,6,1.0,9.5,71.375,sub-03,zscore,CVD
V1,zscore_universal_hrf,zscore,529,3,True,6,1.0,30.0,113.125,sub-04,zscore,CVD
V2,zscore_universal_hrf,zscore,239,2,True,6,1.0,4.375,58.125,sub-04,zscore,CVD
V3,zscore_universal_hrf,zscore,82,3,True,6,1.0,5.125,75.5,sub-04,zscore,CVD
hV4,zscore_universal_hrf,zscore,40,3,True,6,1.0,29.5,112.0,sub-04,zscore,CVD
V1,zscore_universal_hrf,zscore,56,5,True,6,1.0,9.75,76.875,sub-01,voxelSelect,Non-CVD
V2,zscore_universal_hrf,zscore,30,3,True,6,1.0,2.375,85.0,sub-01,voxelSelect,Non-CVD
V3,zscore_universal_hrf,zscore,12,4,True,6,1.0,36.875,124.125,sub-01,voxelSelect,Non-CVD
hV4,zscore_universal_hrf,zscore,13,5,True,6,1.0,28.625,126.375,sub-01,voxelSelect,Non-CVD
V1,zscore_universal_hrf,zscore,76,5,True,6,1.0,4.25,85.0,sub-02,voxelSelect,Non-CVD
V2,zscore_universal_hrf,zscore,48,1,True,6,1.0,14.125,85.875,sub-02,voxelSelect,Non-CVD
V3,zscore_universal_hrf,zscore,13,2,True,6,1.0,4.5,70.125,sub-02,voxelSelect,Non-CVD
V1,zscore_universal_hrf,zscore,83,3,True,6,1.0,21.625,93.375,sub-03,voxelSelect,CVD
V2,zscore_universal_hrf,zscore,85,2,True,6,1.0,8.875,49.625,sub-03,voxelSelect,CVD
V3,zscore_universal_hrf,zscore,13,2,True,6,1.0,23.25,105.25,sub-03,voxelSelect,CVD
V1,zscore_universal_hrf,zscore,84,3,True,6,1.0,24.0,125.75,sub-04,voxelSelect,CVD
V2,zscore_universal_hrf,zscore,30,2,True,6,1.0,13.875,55.125,sub-04,voxelSelect,CVD
V3,zscore_universal_hrf,zscore,26,3,True,6,1.0,50.25,76.875,sub-04,voxelSelect,CVD
hV4,zscore_universal_hrf,zscore,11,3,True,6,1.0,77.0,117.0,sub-04,voxelSelect,CVD
