subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX003,1,1,no_filter,1,green-blue_sc1,green-blue,0.35,different,1,0.9925,0
CDX003,1,1,no_filter,2,red-orange_sc0,red-orange,0.65,different,1,0.6398,0
CDX003,1,1,no_filter,3,yellow-green_sc0,yellow-green,0.65,different,1,0.5691,0
CDX003,1,1,no_filter,4,yellow-green_sc1,yellow-green,0.35,different,1,0.6172,0
CDX003,1,1,no_filter,5,blue-purple_sc1,blue-purple,0.35,different,1,0.7183,0
CDX003,1,1,no_filter,6,orange-yellow_sc0,orange-yellow,0.65,different,1,0.7952,0
CDX003,1,1,no_filter,7,yellow-green_sc1,yellow-green,0.2,different,1,1.1289,0
CDX003,1,1,no_filter,8,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.5194,0
CDX003,1,1,no_filter,9,blue-purple_sc0,blue-purple,0.65,different,1,0.7429,0
CDX003,1,1,no_filter,10,blue-purple_sc1,blue-purple,0.2,different,1,1.2882,0
CDX003,1,1,no_filter,11,orange-yellow_sc1,orange-yellow,0.35,different,1,1.1219,0
CDX003,1,1,no_filter,12,red-cyan_sc1,red-cyan,0.35,different,1,0.5762,0
CDX003,1,1,no_filter,13,blue-purple_sc1,blue-purple,0.05,different,1,1.494,0
CDX003,1,1,no_filter,14,blue-purple_sc0,blue-purple,0.5,different,1,1.2425,0
CDX003,1,1,no_filter,15,yellow-purple_sc1,yellow-purple,0.35,different,1,0.9004,0
CDX003,1,1,no_filter,16,yellow-purple_sc0,yellow-purple,0.65,different,1,0.9307,0
CDX003,1,1,no_filter,17,cyan-magenta_sc0,cyan-magenta,0.65,different,1,0.8067,0
CDX003,1,1,no_filter,18,green-blue_sc1,green-blue,0.2,different,1,0.6972,0
CDX003,1,1,no_filter,19,yellow-purple_sc0,yellow-purple,0.5,different,1,0.921,0
CDX003,1,1,no_filter,20,red-cyan_sc0,red-cyan,0.65,different,1,0.4115,0
CDX003,1,1,no_filter,21,yellow-green_sc0,yellow-green,0.5,different,1,0.4359,0
CDX003,1,1,no_filter,22,blue-purple_sc0,blue-purple,0.35,different,1,0.7479,0
CDX003,1,1,no_filter,23,green-blue_sc1,green-blue,0.05,different,1,0.8423,0
CDX003,1,1,no_filter,24,green-blue_sc0,green-blue,0.65,different,1,0.4853,0
CDX003,1,1,no_filter,25,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.7429,0
CDX003,1,1,no_filter,26,yellow-green_sc1,yellow-green,0.05,different,1,0.6946,0
CDX003,1,1,no_filter,27,orange-yellow_sc0,orange-yellow,0.5,different,1,0.8138,0
CDX003,1,1,no_filter,28,yellow-purple_sc0,yellow-purple,0.35,different,1,0.4829,0
CDX003,1,1,no_filter,29,yellow-purple_sc1,yellow-purple,0.2,different,1,0.8651,0
CDX003,1,1,no_filter,30,red-cyan_sc1,red-cyan,0.2,different,1,0.4581,0
CDX003,1,1,no_filter,31,blue-purple_sc1,blue-purple,0.0,different,1,0.5962,0
CDX003,1,1,no_filter,32,yellow-green_sc0,yellow-green,0.35,different,1,0.5973,0
CDX003,1,1,no_filter,33,orange-yellow_sc1,orange-yellow,0.2,different,1,1.6789,0
CDX003,1,1,no_filter,34,yellow-green_sc1,yellow-green,0.2,same,0,1.554,1
CDX003,1,1,no_filter,35,yellow-green_sc1,yellow-green,0.17,different,1,0.8547,2
CDX003,1,1,no_filter,36,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.8262,0
CDX003,1,1,no_filter,37,yellow-purple_sc0,yellow-purple,0.2,different,1,0.6503,0
CDX003,1,1,no_filter,38,red-orange_sc1,red-orange,0.35,different,1,0.6493,0
CDX003,1,1,no_filter,39,yellow-green_sc1,yellow-green,0.14,different,1,0.712,2
CDX003,1,1,no_filter,40,blue-purple_sc1,blue-purple,0.15,same,0,1.3141,1
CDX003,1,1,no_filter,41,blue-purple_sc1,blue-purple,0.3,same,0,1.1792,1
CDX003,1,1,no_filter,42,yellow-purple_sc1,yellow-purple,0.05,different,1,1.0821,0
CDX003,1,1,no_filter,43,yellow-green_sc1,yellow-green,0.11,different,1,2.5806,2
CDX003,1,1,no_filter,44,red-orange_sc1,red-orange,0.2,different,1,1.5948,0
CDX003,1,1,no_filter,45,red-orange_sc1,red-orange,0.05,different,1,1.8833,0
CDX003,1,1,no_filter,46,yellow-green_sc1,yellow-green,0.08,different,1,2.4299,2
CDX003,1,1,no_filter,47,yellow-green_sc1,yellow-green,0.05,different,1,1.513,2
CDX003,1,1,no_filter,48,yellow-purple_sc0,yellow-purple,0.05,different,1,0.659,0
CDX003,1,1,no_filter,49,red-cyan_sc0,red-cyan,0.5,different,1,0.6133,0
CDX003,1,1,no_filter,50,yellow-green_sc1,yellow-green,0.08,same,0,1.2454,3
CDX003,1,1,no_filter,51,blue-purple_sc1,blue-purple,0.27,different,1,1.7043,2
CDX003,1,1,no_filter,52,red-cyan_sc1,red-cyan,0.05,different,1,0.7747,0
CDX003,1,1,no_filter,53,orange-yellow_sc0,orange-yellow,0.35,different,1,1.8375,0
CDX003,1,1,no_filter,54,green-blue_sc1,green-blue,0.2,same,0,1.0325,1
CDX003,1,1,no_filter,55,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.6866,0
