subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
JungJN,1,1,no_filter,1,green-blue_sc0,green-blue,0.65,different,1,1.1909,0
JungJN,1,1,no_filter,2,red-orange_sc1,red-orange,0.35,different,1,0.4788,0
JungJN,1,1,no_filter,3,cyan-magenta_sc0,cyan-magenta,0.65,different,1,0.4643,0
JungJN,1,1,no_filter,4,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.44,0
JungJN,1,1,no_filter,5,yellow-green_sc0,yellow-green,0.65,different,1,0.485,0
JungJN,1,1,no_filter,6,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.475,0
JungJN,1,1,no_filter,7,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.4386,0
JungJN,1,1,no_filter,8,orange-yellow_sc1,orange-yellow,0.35,different,1,0.7563,0
JungJN,1,1,no_filter,9,orange-yellow_sc0,orange-yellow,0.65,different,1,0.8993,0
JungJN,1,1,no_filter,10,yellow-purple_sc1,yellow-purple,0.35,different,1,0.5318,0
JungJN,1,1,no_filter,11,yellow-green_sc0,yellow-green,0.5,different,1,0.4926,0
JungJN,1,1,no_filter,12,yellow-purple_sc1,yellow-purple,0.2,different,1,0.5823,0
JungJN,1,1,no_filter,13,orange-yellow_sc1,orange-yellow,0.5,same,0,0.7756,1
JungJN,1,1,no_filter,14,yellow-green_sc0,yellow-green,0.35,different,1,0.4939,0
JungJN,1,1,no_filter,15,orange-yellow_sc0,orange-yellow,0.5,different,1,0.7953,0
JungJN,1,1,no_filter,16,blue-purple_sc0,blue-purple,0.65,different,1,0.509,0
JungJN,1,1,no_filter,17,yellow-purple_sc0,yellow-purple,0.65,different,1,0.4499,0
JungJN,1,1,no_filter,18,red-orange_sc0,red-orange,0.65,different,1,0.5345,0
JungJN,1,1,no_filter,19,green-blue_sc1,green-blue,0.35,different,1,0.5262,0
JungJN,1,1,no_filter,20,red-orange_sc0,red-orange,0.5,different,1,0.5338,0
JungJN,1,1,no_filter,21,red-cyan_sc0,red-cyan,0.65,different,1,0.549,0
JungJN,1,1,no_filter,22,red-orange_sc1,red-orange,0.2,different,1,0.71,0
JungJN,1,1,no_filter,23,red-cyan_sc1,red-cyan,0.35,different,1,0.5284,0
JungJN,1,1,no_filter,24,green-blue_sc1,green-blue,0.2,different,1,0.4768,0
JungJN,1,1,no_filter,25,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.5627,0
JungJN,1,1,no_filter,26,cyan-magenta_sc0,cyan-magenta,0.35,different,1,0.7764,0
JungJN,1,1,no_filter,27,green-blue_sc1,green-blue,0.05,different,1,0.4705,0
JungJN,1,1,no_filter,28,cyan-magenta_sc1,cyan-magenta,0.2,same,0,0.8662,1
JungJN,1,1,no_filter,29,yellow-purple_sc1,yellow-purple,0.05,different,1,0.4961,0
JungJN,1,1,no_filter,30,blue-purple_sc1,blue-purple,0.35,different,1,0.8431,0
