subj_id,group,session,run,trial,stimulus_label,response_label,correct,rt,color_order
CDX005,1,1,1,1,color_2,color_2,1,1.7007,color_5|color_4|color_1|color_6|color_2|color_7|color_8|color_3
CDX005,1,1,1,2,color_8,color_8,1,3.5366,color_1|color_5|color_6|color_8|color_4|color_2|color_3|color_7
CDX005,1,1,1,3,color_6,color_6,1,1.9059,color_5|color_7|color_2|color_4|color_1|color_6|color_8|color_3
CDX005,1,1,1,4,color_5,color_5,1,2.0073,color_1|color_6|color_3|color_4|color_5|color_2|color_8|color_7
CDX005,1,1,1,5,color_8,color_8,1,2.3982,color_7|color_2|color_3|color_1|color_6|color_4|color_8|color_5
CDX005,1,1,1,6,color_3,color_3,1,1.2459,color_8|color_3|color_6|color_5|color_2|color_7|color_1|color_4
CDX005,1,1,1,7,color_6,color_6,1,1.5208,color_1|color_2|color_7|color_8|color_6|color_4|color_5|color_3
CDX005,1,1,1,8,color_6,color_6,1,1.5584,color_1|color_4|color_6|color_7|color_2|color_8|color_5|color_3
CDX005,1,1,1,9,color_4,color_4,1,1.6324,color_6|color_1|color_4|color_7|color_8|color_5|color_2|color_3
CDX005,1,1,1,10,color_3,color_3,1,1.6489,color_1|color_7|color_6|color_8|color_2|color_3|color_5|color_4
CDX005,1,1,1,11,color_7,color_7,1,1.3023,color_6|color_2|color_5|color_8|color_7|color_3|color_4|color_1
CDX005,1,1,1,12,color_8,color_8,1,2.1654,color_7|color_3|color_2|color_8|color_5|color_6|color_1|color_4
CDX005,1,1,1,13,color_5,color_4,0,1.3432,color_4|color_6|color_1|color_5|color_8|color_3|color_7|color_2
CDX005,1,1,1,14,color_4,color_4,1,1.1509,color_3|color_4|color_7|color_2|color_5|color_1|color_8|color_6
CDX005,1,1,1,15,color_6,color_6,1,1.79,color_8|color_2|color_3|color_7|color_1|color_6|color_5|color_4
CDX005,1,1,1,16,color_2,color_2,1,2.6035,color_7|color_8|color_3|color_5|color_1|color_6|color_4|color_2
CDX005,1,1,1,17,color_7,color_7,1,2.366,color_8|color_2|color_1|color_3|color_4|color_6|color_5|color_7
CDX005,1,1,1,18,color_5,color_5,1,1.8726,color_2|color_1|color_6|color_3|color_8|color_5|color_4|color_7
CDX005,1,1,1,19,color_1,color_1,1,1.7713,color_4|color_5|color_1|color_6|color_3|color_7|color_2|color_8
CDX005,1,1,1,20,color_7,color_7,1,1.5394,color_7|color_1|color_8|color_5|color_3|color_4|color_2|color_6
CDX005,1,1,1,21,color_2,color_2,1,2.5754,color_6|color_1|color_3|color_5|color_8|color_7|color_4|color_2
CDX005,1,1,1,22,color_4,color_4,1,2.5431,color_2|color_1|color_6|color_7|color_5|color_8|color_4|color_3
CDX005,1,1,1,23,color_8,color_8,1,2.0581,color_7|color_2|color_4|color_3|color_6|color_8|color_5|color_1
CDX005,1,1,1,24,color_5,color_5,1,2.5075,color_5|color_2|color_8|color_1|color_4|color_7|color_3|color_6
CDX005,1,1,1,25,color_8,color_8,1,2.6428,color_1|color_6|color_3|color_5|color_7|color_2|color_4|color_8
CDX005,1,1,1,26,color_2,color_2,1,1.5895,color_8|color_7|color_6|color_3|color_5|color_2|color_1|color_4
CDX005,1,1,1,27,color_1,color_1,1,2.1948,color_7|color_2|color_4|color_3|color_6|color_5|color_1|color_8
CDX005,1,1,1,28,color_7,color_7,1,2.4763,color_3|color_1|color_5|color_8|color_6|color_7|color_4|color_2
CDX005,1,1,1,29,color_3,color_3,1,1.9268,color_5|color_2|color_8|color_3|color_4|color_1|color_7|color_6
CDX005,1,1,1,30,color_8,color_8,1,1.4517,color_7|color_5|color_4|color_1|color_3|color_8|color_2|color_6
