pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.06,0.0224,9,20
yellow-purple,yellow-purple_sc1,0.5,0.065,0.015,11,20
blue-purple,blue-purple_sc0,0.8,0.115,0.0472,8,21
blue-purple,blue-purple_sc1,0.5,0.125,0.0568,8,25
red-orange,red-orange_sc0,0.8,0.06,0.0224,9,20
red-orange,red-orange_sc1,0.5,0.065,0.015,10,20
cyan-magenta,cyan-magenta_sc0,0.8,0.035,0.0206,9,20
cyan-magenta,cyan-magenta_sc1,0.5,0.045,0.015,12,20
green-blue,green-blue_sc0,0.8,0.065,0.015,11,20
green-blue,green-blue_sc1,0.5,0.09,0.0224,13,20
orange-yellow,orange-yellow_sc0,0.8,0.87,0.0374,10,20
orange-yellow,orange-yellow_sc1,0.5,0.81,0.0843,9,20
yellow-green,yellow-green_sc0,0.8,0.28,0.0592,8,23
yellow-green,yellow-green_sc1,0.5,0.275,0.0377,10,20
red-cyan,red-cyan_sc0,0.8,0.015,0.015,10,20
red-cyan,red-cyan_sc1,0.5,0.015,0.015,12,20
