run,condition,filter,pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
1,window,no_filter,yellow-purple,yellow-purple_sc0,0.8,0.015,0.015,10,20
1,window,no_filter,yellow-purple,yellow-purple_sc1,0.5,0.02,0.0224,10,20
1,window,no_filter,blue-purple,blue-purple_sc0,0.8,0.05,0.0245,8,20
1,window,no_filter,blue-purple,blue-purple_sc1,0.5,0.095,0.045,8,21
1,window,no_filter,red-orange,red-orange_sc0,0.8,0.16,0.0224,10,20
1,window,no_filter,red-orange,red-orange_sc1,0.5,0.21,0.0224,12,20
1,window,no_filter,cyan-magenta,cyan-magenta_sc0,0.8,0.03,0.0245,8,20
1,window,no_filter,cyan-magenta,cyan-magenta_sc1,0.5,0.025,0.0206,10,20
1,window,no_filter,green-blue,green-blue_sc0,0.8,0.15,0.0374,10,20
1,window,no_filter,green-blue,green-blue_sc1,0.5,0.11,0.0245,8,21
1,window,no_filter,orange-yellow,orange-yellow_sc0,0.8,0.08,0.0245,10,20
1,window,no_filter,orange-yellow,orange-yellow_sc1,0.5,0.11,0.0346,11,20
1,window,no_filter,yellow-green,yellow-green_sc0,0.8,0.09,0.0224,8,20
1,window,no_filter,yellow-green,yellow-green_sc1,0.5,0.075,0.0377,11,20
1,window,no_filter,red-cyan,red-cyan_sc0,0.8,0.04,0.0224,8,20
1,window,no_filter,red-cyan,red-cyan_sc1,0.5,0.0183,0.0195,11,20
