run,condition,filter,pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
2,optimal,sub-08,yellow-purple,yellow-purple_sc0,0.8,0.035,0.015,10,20
2,optimal,sub-08,yellow-purple,yellow-purple_sc1,0.5,0.025,0.0269,8,20
2,optimal,sub-08,blue-purple,blue-purple_sc0,0.8,0.11,0.0374,8,20
2,optimal,sub-08,blue-purple,blue-purple_sc1,0.5,0.2,0.0346,9,20
2,optimal,sub-08,red-orange,red-orange_sc0,0.8,0.14,0.0387,9,20
2,optimal,sub-08,red-orange,red-orange_sc1,0.5,0.13,0.0332,11,20
2,optimal,sub-08,cyan-magenta,cyan-magenta_sc0,0.8,0.04,0.0224,9,20
2,optimal,sub-08,cyan-magenta,cyan-magenta_sc1,0.5,0.0333,0.0213,10,20
2,optimal,sub-08,green-blue,green-blue_sc0,0.8,0.045,0.0287,8,22
2,optimal,sub-08,green-blue,green-blue_sc1,0.5,0.06,0.0224,11,20
2,optimal,sub-08,orange-yellow,orange-yellow_sc0,0.8,0.06,0.0245,9,20
2,optimal,sub-08,orange-yellow,orange-yellow_sc1,0.5,0.0317,0.0297,8,20
2,optimal,sub-08,yellow-green,yellow-green_sc0,0.8,0.145,0.032,9,20
2,optimal,sub-08,yellow-green,yellow-green_sc1,0.5,0.165,0.0377,8,21
2,optimal,sub-08,red-cyan,red-cyan_sc0,0.8,0.015,0.015,9,20
2,optimal,sub-08,red-cyan,red-cyan_sc1,0.5,0.045,0.015,12,20
