subj_id,group,session,run,condition,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX008,1,2,2,optimal,sub-08,1,yellow-green_sc0,yellow-green,0.65,different,1,2.2286,0
CDX008,1,2,2,optimal,sub-08,2,orange-yellow_sc1,orange-yellow,0.35,different,1,0.8442,0
CDX008,1,2,2,optimal,sub-08,3,yellow-purple_sc0,yellow-purple,0.65,different,1,0.4902,0
CDX008,1,2,2,optimal,sub-08,4,yellow-purple_sc0,yellow-purple,0.5,different,1,0.4689,0
CDX008,1,2,2,optimal,sub-08,5,yellow-green_sc0,yellow-green,0.5,different,1,0.7375,0
CDX008,1,2,2,optimal,sub-08,6,blue-purple_sc1,blue-purple,0.35,different,1,0.9615,0
CDX008,1,2,2,optimal,sub-08,7,red-cyan_sc1,red-cyan,0.35,different,1,0.6201,0
CDX008,1,2,2,optimal,sub-08,8,red-orange_sc1,red-orange,0.35,different,1,0.5311,0
CDX008,1,2,2,optimal,sub-08,9,cyan-magenta_sc0,cyan-magenta,0.65,different,1,0.5746,0
CDX008,1,2,2,optimal,sub-08,10,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.585,0
CDX008,1,2,2,optimal,sub-08,11,orange-yellow_sc0,orange-yellow,0.65,different,1,0.6346,0
CDX008,1,2,2,optimal,sub-08,12,red-cyan_sc1,red-cyan,0.2,different,1,0.4974,0
CDX008,1,2,2,optimal,sub-08,13,blue-purple_sc1,blue-purple,0.2,different,1,1.7442,0
CDX008,1,2,2,optimal,sub-08,14,red-cyan_sc1,red-cyan,0.05,different,1,0.5158,0
CDX008,1,2,2,optimal,sub-08,15,yellow-purple_sc1,yellow-purple,0.35,different,1,0.4751,0
CDX008,1,2,2,optimal,sub-08,16,red-cyan_sc0,red-cyan,0.65,different,1,0.48,0
CDX008,1,2,2,optimal,sub-08,17,yellow-green_sc0,yellow-green,0.35,different,1,0.5247,0
CDX008,1,2,2,optimal,sub-08,18,red-orange_sc0,red-orange,0.65,different,1,0.4603,0
CDX008,1,2,2,optimal,sub-08,19,red-cyan_sc1,red-cyan,0.0,different,1,1.0735,0
CDX008,1,2,2,optimal,sub-08,20,red-orange_sc0,red-orange,0.5,different,1,0.6014,0
CDX008,1,2,2,optimal,sub-08,21,red-orange_sc0,red-orange,0.35,different,1,0.5671,0
CDX008,1,2,2,optimal,sub-08,22,yellow-green_sc0,yellow-green,0.2,different,1,0.6098,0
CDX008,1,2,2,optimal,sub-08,23,red-orange_sc1,red-orange,0.2,different,1,0.4958,0
CDX008,1,2,2,optimal,sub-08,24,blue-purple_sc1,blue-purple,0.05,different,1,2.7769,0
CDX008,1,2,2,optimal,sub-08,25,green-blue_sc1,green-blue,0.35,different,1,0.5688,0
CDX008,1,2,2,optimal,sub-08,26,red-cyan_sc0,red-cyan,0.5,different,1,0.5267,0
CDX008,1,2,2,optimal,sub-08,27,red-orange_sc0,red-orange,0.2,different,1,0.6169,0
CDX008,1,2,2,optimal,sub-08,28,red-cyan_sc1,red-cyan,0.15,same,0,1.8539,1
CDX008,1,2,2,optimal,sub-08,29,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.4621,0
CDX008,1,2,2,optimal,sub-08,30,yellow-purple_sc0,yellow-purple,0.35,different,1,0.4767,0
CDX008,1,2,2,optimal,sub-08,31,yellow-green_sc0,yellow-green,0.05,different,1,0.879,0
CDX008,1,2,2,optimal,sub-08,32,red-cyan_sc0,red-cyan,0.35,different,1,0.7114,0
CDX008,1,2,2,optimal,sub-08,33,red-cyan_sc1,red-cyan,0.12,different,1,0.6801,2
CDX008,1,2,2,optimal,sub-08,34,red-cyan_sc0,red-cyan,0.2,different,1,0.5386,0
CDX008,1,2,2,optimal,sub-08,35,blue-purple_sc0,blue-purple,0.65,different,1,1.0727,0
CDX008,1,2,2,optimal,sub-08,36,yellow-green_sc1,yellow-green,0.35,different,1,0.6201,0
CDX008,1,2,2,optimal,sub-08,37,red-cyan_sc1,red-cyan,0.09,different,1,0.5093,2
CDX008,1,2,2,optimal,sub-08,38,yellow-green_sc1,yellow-green,0.2,different,1,0.8238,0
CDX008,1,2,2,optimal,sub-08,39,red-orange_sc0,red-orange,0.05,different,1,1.0962,0
CDX008,1,2,2,optimal,sub-08,40,red-orange_sc1,red-orange,0.05,different,1,1.4221,0
CDX008,1,2,2,optimal,sub-08,41,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.7396,0
