subj_id,group,session,run,condition,color_mode,filter_subject,trial,stimulus_label,response_label,correct,rt,color_order
CDX009,1,2,2,optimal,filter,sub-09,1,color_3,color_3,1,2.0759,color_6|color_8|color_1|color_4|color_3|color_5|color_7|color_2
CDX009,1,2,2,optimal,filter,sub-09,2,color_1,color_1,1,3.6648,color_8|color_4|color_5|color_6|color_7|color_3|color_2|color_1
CDX009,1,2,2,optimal,filter,sub-09,3,color_2,color_2,1,1.2593,color_4|color_8|color_2|color_7|color_6|color_5|color_1|color_3
CDX009,1,2,2,optimal,filter,sub-09,4,color_2,color_2,1,1.6463,color_1|color_8|color_4|color_2|color_5|color_6|color_7|color_3
CDX009,1,2,2,optimal,filter,sub-09,5,color_4,color_4,1,1.5028,color_2|color_6|color_7|color_8|color_5|color_4|color_1|color_3
CDX009,1,2,2,optimal,filter,sub-09,6,color_6,color_6,1,2.2113,color_1|color_6|color_7|color_3|color_8|color_2|color_5|color_4
CDX009,1,2,2,optimal,filter,sub-09,7,color_4,color_4,1,1.4197,color_8|color_4|color_7|color_6|color_2|color_1|color_3|color_5
CDX009,1,2,2,optimal,filter,sub-09,8,color_5,color_5,1,1.2719,color_6|color_1|color_2|color_4|color_7|color_5|color_3|color_8
CDX009,1,2,2,optimal,filter,sub-09,9,color_7,color_7,1,1.6725,color_2|color_6|color_3|color_4|color_1|color_7|color_5|color_8
CDX009,1,2,2,optimal,filter,sub-09,10,color_8,color_8,1,1.3204,color_1|color_7|color_2|color_8|color_3|color_5|color_6|color_4
CDX009,1,2,2,optimal,filter,sub-09,11,color_8,color_8,1,2.9046,color_4|color_3|color_6|color_5|color_8|color_2|color_7|color_1
CDX009,1,2,2,optimal,filter,sub-09,12,color_2,color_2,1,1.087,color_1|color_4|color_2|color_7|color_3|color_6|color_5|color_8
CDX009,1,2,2,optimal,filter,sub-09,13,color_3,color_3,1,1.4037,color_7|color_5|color_4|color_8|color_6|color_2|color_3|color_1
CDX009,1,2,2,optimal,filter,sub-09,14,color_5,color_5,1,2.4081,color_8|color_7|color_2|color_3|color_4|color_6|color_5|color_1
CDX009,1,2,2,optimal,filter,sub-09,15,color_5,color_5,1,2.1359,color_8|color_5|color_7|color_6|color_3|color_4|color_2|color_1
CDX009,1,2,2,optimal,filter,sub-09,16,color_8,color_8,1,0.9639,color_4|color_6|color_1|color_7|color_8|color_3|color_5|color_2
CDX009,1,2,2,optimal,filter,sub-09,17,color_7,color_7,1,1.3671,color_2|color_4|color_1|color_7|color_6|color_5|color_8|color_3
CDX009,1,2,2,optimal,filter,sub-09,18,color_7,color_7,1,1.7269,color_1|color_8|color_3|color_5|color_6|color_2|color_4|color_7
CDX009,1,2,2,optimal,filter,sub-09,19,color_5,color_5,1,1.8099,color_3|color_2|color_6|color_7|color_8|color_4|color_1|color_5
CDX009,1,2,2,optimal,filter,sub-09,20,color_6,color_6,1,1.1631,color_8|color_7|color_4|color_5|color_2|color_6|color_3|color_1
CDX009,1,2,2,optimal,filter,sub-09,21,color_5,color_5,1,1.4625,color_5|color_4|color_6|color_3|color_1|color_7|color_2|color_8
CDX009,1,2,2,optimal,filter,sub-09,22,color_8,color_8,1,1.021,color_7|color_3|color_6|color_2|color_1|color_8|color_5|color_4
CDX009,1,2,2,optimal,filter,sub-09,23,color_4,color_4,1,1.352,color_8|color_4|color_2|color_6|color_5|color_7|color_1|color_3
CDX009,1,2,2,optimal,filter,sub-09,24,color_6,color_6,1,1.3109,color_1|color_3|color_4|color_7|color_5|color_2|color_6|color_8
CDX009,1,2,2,optimal,filter,sub-09,25,color_4,color_4,1,1.0621,color_7|color_6|color_2|color_8|color_5|color_4|color_3|color_1
CDX009,1,2,2,optimal,filter,sub-09,26,color_7,color_7,1,1.2189,color_6|color_5|color_7|color_8|color_1|color_4|color_2|color_3
CDX009,1,2,2,optimal,filter,sub-09,27,color_3,color_3,1,3.1327,color_8|color_1|color_7|color_3|color_2|color_4|color_6|color_5
CDX009,1,2,2,optimal,filter,sub-09,28,color_1,color_1,1,1.4594,color_8|color_6|color_2|color_7|color_4|color_3|color_5|color_1
CDX009,1,2,2,optimal,filter,sub-09,29,color_4,color_4,1,1.5943,color_4|color_2|color_8|color_3|color_6|color_1|color_7|color_5
CDX009,1,2,2,optimal,filter,sub-09,30,color_1,color_1,1,1.6791,color_1|color_2|color_4|color_7|color_6|color_8|color_3|color_5
CDX009,1,2,2,optimal,filter,sub-09,31,color_5,color_5,1,1.1871,color_5|color_2|color_7|color_8|color_3|color_6|color_4|color_1
CDX009,1,2,2,optimal,filter,sub-09,32,color_3,color_2,0,1.5836,color_1|color_2|color_6|color_8|color_4|color_5|color_7|color_3
