pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.02,0.0224,8,21
yellow-purple,yellow-purple_sc1,0.5,0.025,0.0269,9,20
blue-purple,blue-purple_sc0,0.8,0.17,0.0424,9,20
blue-purple,blue-purple_sc1,0.5,0.18,0.0224,8,21
red-orange,red-orange_sc0,0.8,0.245,0.0896,8,26
red-orange,red-orange_sc1,0.5,0.055,0.0532,8,30
cyan-magenta,cyan-magenta_sc0,0.8,0.07,0.048,8,24
cyan-magenta,cyan-magenta_sc1,0.5,0.05,0.0245,10,20
green-blue,green-blue_sc0,0.8,0.105,0.0472,11,20
green-blue,green-blue_sc1,0.5,0.105,0.0287,10,20
orange-yellow,orange-yellow_sc0,0.8,0.405,0.0702,8,26
orange-yellow,orange-yellow_sc1,0.5,0.44,0.0574,10,25
yellow-green,yellow-green_sc0,0.8,0.15,0.0412,8,21
yellow-green,yellow-green_sc1,0.5,0.11,0.052,8,21
red-cyan,red-cyan_sc0,0.8,0.035,0.032,9,20
red-cyan,red-cyan_sc1,0.5,0.055,0.032,9,20
