subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX005,1,1,no_filter,1,cyan-magenta_sc0,cyan-magenta,0.65,different,1,1.3467,0
CDX005,1,1,no_filter,2,red-cyan_sc1,red-cyan,0.35,different,1,0.5915,0
CDX005,1,1,no_filter,3,orange-yellow_sc1,orange-yellow,0.35,different,1,1.1014,0
CDX005,1,1,no_filter,4,yellow-purple_sc1,yellow-purple,0.35,different,1,0.8467,0
CDX005,1,1,no_filter,5,green-blue_sc0,green-blue,0.65,different,1,0.5242,0
CDX005,1,1,no_filter,6,green-blue_sc1,green-blue,0.35,different,1,0.6452,0
CDX005,1,1,no_filter,7,red-orange_sc1,red-orange,0.35,different,1,0.4459,0
CDX005,1,1,no_filter,8,blue-purple_sc1,blue-purple,0.35,different,1,0.6297,0
CDX005,1,1,no_filter,9,yellow-purple_sc1,yellow-purple,0.2,different,1,0.6502,0
CDX005,1,1,no_filter,10,red-orange_sc1,red-orange,0.2,different,1,0.6729,0
CDX005,1,1,no_filter,11,green-blue_sc0,green-blue,0.5,different,1,0.6037,0
CDX005,1,1,no_filter,12,blue-purple_sc1,blue-purple,0.2,different,1,0.5806,0
CDX005,1,1,no_filter,13,orange-yellow_sc0,orange-yellow,0.65,different,1,0.5943,0
CDX005,1,1,no_filter,14,yellow-purple_sc1,yellow-purple,0.05,different,1,0.5954,0
CDX005,1,1,no_filter,15,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.4543,0
CDX005,1,1,no_filter,16,blue-purple_sc0,blue-purple,0.65,different,1,0.5701,0
CDX005,1,1,no_filter,17,red-orange_sc0,red-orange,0.65,different,1,1.3752,0
CDX005,1,1,no_filter,18,cyan-magenta_sc0,cyan-magenta,0.35,different,1,5.8685,0
CDX005,1,1,no_filter,19,green-blue_sc0,green-blue,0.35,different,1,0.47,0
CDX005,1,1,no_filter,20,cyan-magenta_sc0,cyan-magenta,0.2,different,1,0.3733,0
CDX005,1,1,no_filter,21,yellow-purple_sc0,yellow-purple,0.65,different,1,0.4469,0
CDX005,1,1,no_filter,22,blue-purple_sc1,blue-purple,0.35,same,0,0.9382,1
CDX005,1,1,no_filter,23,green-blue_sc1,green-blue,0.2,different,1,0.9382,0
CDX005,1,1,no_filter,24,red-cyan_sc1,red-cyan,0.2,different,1,0.96,0
CDX005,1,1,no_filter,25,yellow-purple_sc1,yellow-purple,0.0,different,1,0.8826,0
CDX005,1,1,no_filter,26,yellow-green_sc0,yellow-green,0.65,different,1,0.7619,0
CDX005,1,1,no_filter,27,yellow-purple_sc0,yellow-purple,0.5,different,1,0.5915,0
CDX005,1,1,no_filter,28,blue-purple_sc0,blue-purple,0.5,different,1,0.7496,0
CDX005,1,1,no_filter,29,yellow-purple_sc0,yellow-purple,0.35,different,1,0.5602,0
CDX005,1,1,no_filter,30,green-blue_sc1,green-blue,0.05,different,1,0.842,0
CDX005,1,1,no_filter,31,yellow-purple_sc1,yellow-purple,0.15,same,0,0.6355,1
CDX005,1,1,no_filter,32,red-orange_sc1,red-orange,0.35,same,0,0.6526,1
CDX005,1,1,no_filter,33,yellow-green_sc0,yellow-green,0.5,different,1,0.8267,0
CDX005,1,1,no_filter,34,green-blue_sc1,green-blue,0.2,same,0,0.7068,1
CDX005,1,1,no_filter,35,red-cyan_sc1,red-cyan,0.05,different,1,1.0132,0
CDX005,1,1,no_filter,36,yellow-purple_sc0,yellow-purple,0.2,different,1,0.9264,0
CDX005,1,1,no_filter,37,yellow-purple_sc1,yellow-purple,0.12,different,1,0.5543,2
CDX005,1,1,no_filter,38,red-orange_sc1,red-orange,0.32,different,1,2.023,2
CDX005,1,1,no_filter,39,yellow-purple_sc1,yellow-purple,0.09,different,1,0.746,2
CDX005,1,1,no_filter,40,yellow-green_sc1,yellow-green,0.35,different,1,0.4589,0
CDX005,1,1,no_filter,41,yellow-green_sc0,yellow-green,0.35,different,1,0.5337,0
CDX005,1,1,no_filter,42,red-cyan_sc1,red-cyan,0.2,same,0,0.8709,1
CDX005,1,1,no_filter,43,yellow-green_sc1,yellow-green,0.2,different,1,1.0384,0
CDX005,1,1,no_filter,44,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.8943,0
CDX005,1,1,no_filter,45,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.4235,0
CDX005,1,1,no_filter,46,yellow-green_sc1,yellow-green,0.05,different,1,1.1143,0
CDX005,1,1,no_filter,47,orange-yellow_sc1,orange-yellow,0.5,same,0,0.717,1
CDX005,1,1,no_filter,48,red-cyan_sc0,red-cyan,0.65,different,1,1.039,0
CDX005,1,1,no_filter,49,green-blue_sc0,green-blue,0.2,different,1,0.763,0
CDX005,1,1,no_filter,50,orange-yellow_sc1,orange-yellow,0.47,different,1,0.7208,2
CDX005,1,1,no_filter,51,orange-yellow_sc1,orange-yellow,0.44,different,1,1.6992,2
CDX005,1,1,no_filter,52,cyan-magenta_sc0,cyan-magenta,0.05,different,1,0.9329,0
CDX005,1,1,no_filter,53,red-cyan_sc1,red-cyan,0.17,different,1,0.7177,2
CDX005,1,1,no_filter,54,green-blue_sc0,green-blue,0.05,different,1,0.9063,0
CDX005,1,1,no_filter,55,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.8495,0
CDX005,1,1,no_filter,56,yellow-purple_sc1,yellow-purple,0.06,different,1,1.0309,2
CDX005,1,1,no_filter,57,cyan-magenta_sc1,cyan-magenta,0.0,different,1,1.3102,0
CDX005,1,1,no_filter,58,yellow-purple_sc1,yellow-purple,0.03,different,1,0.5981,2
CDX005,1,1,no_filter,59,yellow-green_sc0,yellow-green,0.2,different,1,0.6074,0
CDX005,1,1,no_filter,60,yellow-purple_sc1,yellow-purple,0.06,same,0,1.1592,3
CDX005,1,1,no_filter,61,red-cyan_sc1,red-cyan,0.14,different,1,2.3679,2
CDX005,1,1,no_filter,62,red-orange_sc0,red-orange,0.5,different,1,0.6916,0
CDX005,1,1,no_filter,63,red-cyan_sc1,red-cyan,0.11,different,1,1.387,2
CDX005,1,1,no_filter,64,yellow-green_sc0,yellow-green,0.05,different,1,0.7597,0
CDX005,1,1,no_filter,65,red-orange_sc0,red-orange,0.35,different,1,0.6378,0
CDX005,1,1,no_filter,66,red-cyan_sc1,red-cyan,0.08,different,1,0.6759,2
CDX005,1,1,no_filter,67,red-cyan_sc1,red-cyan,0.05,different,1,0.4488,2
CDX005,1,1,no_filter,68,red-orange_sc1,red-orange,0.29,different,1,1.0561,2
CDX005,1,1,no_filter,69,yellow-purple_sc0,yellow-purple,0.05,different,1,1.0767,0
CDX005,1,1,no_filter,70,cyan-magenta_sc1,cyan-magenta,0.15,same,0,0.8024,1
CDX005,1,1,no_filter,71,green-blue_sc0,green-blue,0.2,same,0,0.8335,1
CDX005,1,1,no_filter,72,blue-purple_sc0,blue-purple,0.35,different,1,0.9083,0
CDX005,1,1,no_filter,73,blue-purple_sc0,blue-purple,0.2,different,1,0.6958,0
CDX005,1,1,no_filter,74,green-blue_sc1,green-blue,0.17,different,1,0.7237,2
CDX005,1,1,no_filter,75,cyan-magenta_sc0,cyan-magenta,0.0,different,1,0.4826,0
CDX005,1,1,no_filter,76,orange-yellow_sc0,orange-yellow,0.5,different,1,1.0807,0
CDX005,1,1,no_filter,77,green-blue_sc1,green-blue,0.14,different,1,0.7428,2
CDX005,1,1,no_filter,78,yellow-purple_sc0,yellow-purple,0.0,different,1,1.5296,0
CDX005,1,1,no_filter,79,green-blue_sc1,green-blue,0.11,different,1,1.0829,2
CDX005,1,1,no_filter,80,orange-yellow_sc1,orange-yellow,0.41,different,1,1.1645,2
CDX005,1,1,no_filter,81,red-cyan_sc0,red-cyan,0.5,different,1,1.0889,0
CDX005,1,1,no_filter,82,orange-yellow_sc0,orange-yellow,0.35,different,1,1.6332,0
CDX005,1,1,no_filter,83,green-blue_sc0,green-blue,0.17,different,1,0.8076,2
CDX005,1,1,no_filter,84,blue-purple_sc1,blue-purple,0.32,different,1,0.6953,2
CDX005,1,1,no_filter,85,yellow-purple_sc0,yellow-purple,0.15,same,0,0.7115,1
CDX005,1,1,no_filter,86,blue-purple_sc1,blue-purple,0.29,different,1,1.2888,2
CDX005,1,1,no_filter,87,green-blue_sc0,green-blue,0.14,different,1,0.8384,2
CDX005,1,1,no_filter,88,green-blue_sc1,green-blue,0.08,different,1,0.8758,2
CDX005,1,1,no_filter,89,blue-purple_sc1,blue-purple,0.26,different,1,1.2432,2
CDX005,1,1,no_filter,90,cyan-magenta_sc1,cyan-magenta,0.12,different,1,0.8567,2
CDX005,1,1,no_filter,91,blue-purple_sc0,blue-purple,0.35,same,0,2.2551,1
CDX005,1,1,no_filter,92,yellow-green_sc0,yellow-green,0.2,same,0,0.9803,1
CDX005,1,1,no_filter,93,yellow-purple_sc0,yellow-purple,0.12,different,1,0.8254,2
CDX005,1,1,no_filter,94,yellow-green_sc1,yellow-green,0.2,same,0,1.3639,1
CDX005,1,1,no_filter,95,red-orange_sc1,red-orange,0.26,different,1,1.4722,2
CDX005,1,1,no_filter,96,red-cyan_sc0,red-cyan,0.35,different,1,0.8891,0
CDX005,1,1,no_filter,97,cyan-magenta_sc1,cyan-magenta,0.09,different,1,-0.2589,2
CDX005,1,1,no_filter,98,yellow-green_sc0,yellow-green,0.17,different,1,1.5904,2
CDX005,1,1,no_filter,99,yellow-purple_sc0,yellow-purple,0.09,different,1,1.7254,2
CDX005,1,1,no_filter,100,red-cyan_sc0,red-cyan,0.2,different,1,0.8036,0
CDX005,1,1,no_filter,101,blue-purple_sc0,blue-purple,0.32,different,1,1.1492,2
CDX005,1,1,no_filter,102,orange-yellow_sc1,orange-yellow,0.38,different,1,0.6815,2
CDX005,1,1,no_filter,103,cyan-magenta_sc1,cyan-magenta,0.06,different,1,1.4168,2
CDX005,1,1,no_filter,104,blue-purple_sc0,blue-purple,0.29,different,1,2.3302,2
CDX005,1,1,no_filter,105,green-blue_sc1,green-blue,0.11,same,0,1.1394,3
