subj_id,group,session,run,trial,stimulus_label,response_label,correct,rt,color_order
CDX002,1,1,1,1,color_2,color_2,1,2.8879,color_4|color_8|color_2|color_3|color_6|color_1|color_5|color_7
CDX002,1,1,1,2,color_6,color_6,1,1.7165,color_6|color_1|color_7|color_5|color_2|color_8|color_3|color_4
CDX002,1,1,1,3,color_2,color_3,0,3.3422,color_6|color_5|color_2|color_7|color_4|color_3|color_8|color_1
CDX002,1,1,1,4,color_2,color_2,1,3.868,color_7|color_8|color_1|color_3|color_2|color_6|color_5|color_4
CDX002,1,1,1,5,color_8,color_8,1,3.7843,color_5|color_3|color_2|color_7|color_4|color_8|color_1|color_6
CDX002,1,1,1,6,color_5,color_5,1,2.1471,color_3|color_5|color_7|color_8|color_4|color_6|color_1|color_2
CDX002,1,1,1,7,color_6,color_6,1,3.0417,color_2|color_5|color_6|color_4|color_3|color_8|color_7|color_1
CDX002,1,1,1,8,color_4,color_4,1,4.5514,color_3|color_8|color_2|color_5|color_6|color_1|color_7|color_4
CDX002,1,1,1,9,color_2,color_2,1,3.6681,color_3|color_6|color_5|color_4|color_1|color_2|color_8|color_7
CDX002,1,1,1,10,color_3,color_4,0,4.1186,color_2|color_7|color_8|color_5|color_1|color_4|color_6|color_3
CDX002,1,1,1,11,color_7,color_7,1,5.0139,color_8|color_2|color_4|color_7|color_6|color_5|color_3|color_1
CDX002,1,1,1,12,color_6,color_6,1,2.3747,color_2|color_5|color_3|color_1|color_6|color_4|color_7|color_8
CDX002,1,1,1,13,color_1,color_1,1,4.176,color_8|color_1|color_5|color_2|color_3|color_7|color_6|color_4
CDX002,1,1,1,14,color_7,color_8,0,3.0328,color_8|color_4|color_1|color_6|color_2|color_5|color_7|color_3
CDX002,1,1,1,15,color_7,color_7,1,4.9856,color_6|color_1|color_5|color_4|color_3|color_2|color_7|color_8
CDX002,1,1,1,16,color_7,color_7,1,4.1272,color_6|color_4|color_1|color_3|color_7|color_2|color_8|color_5
CDX002,1,1,1,17,color_5,color_5,1,3.2163,color_1|color_8|color_5|color_7|color_2|color_3|color_4|color_6
CDX002,1,1,1,18,color_4,timeout,0,10.0,color_6|color_1|color_4|color_5|color_2|color_3|color_7|color_8
CDX002,1,1,1,19,color_3,color_8,0,-2.5648,color_8|color_5|color_6|color_1|color_7|color_3|color_4|color_2
CDX002,1,1,1,20,color_5,color_5,1,2.4102,color_5|color_3|color_8|color_7|color_2|color_4|color_6|color_1
CDX002,1,1,1,21,color_8,color_8,1,3.1388,color_2|color_8|color_5|color_3|color_1|color_4|color_7|color_6
CDX002,1,1,1,22,color_7,color_8,0,4.4803,color_8|color_6|color_4|color_1|color_3|color_7|color_5|color_2
CDX002,1,1,1,23,color_3,color_3,1,5.6709,color_5|color_6|color_2|color_4|color_8|color_1|color_7|color_3
CDX002,1,1,1,24,color_5,color_5,1,4.2214,color_8|color_2|color_7|color_4|color_1|color_3|color_5|color_6
CDX002,1,1,1,25,color_5,color_5,1,2.253,color_4|color_1|color_7|color_8|color_5|color_6|color_3|color_2
CDX002,1,1,1,26,color_5,color_5,1,3.4303,color_3|color_6|color_4|color_1|color_2|color_8|color_5|color_7
CDX002,1,1,1,27,color_4,color_3,0,3.9658,color_1|color_3|color_2|color_5|color_8|color_4|color_7|color_6
CDX002,1,1,1,28,color_1,color_1,1,3.2238,color_2|color_1|color_5|color_8|color_3|color_7|color_6|color_4
CDX002,1,1,1,29,color_4,color_4,1,2.7213,color_6|color_5|color_1|color_3|color_4|color_2|color_8|color_7
CDX002,1,1,1,30,color_4,color_4,1,4.2518,color_7|color_4|color_8|color_3|color_5|color_6|color_1|color_2
CDX002,1,1,1,31,color_7,color_7,1,3.7345,color_1|color_7|color_5|color_6|color_4|color_3|color_8|color_2
CDX002,1,1,1,32,color_6,color_6,1,4.7609,color_7|color_1|color_4|color_8|color_5|color_3|color_2|color_6
CDX002,1,1,1,33,color_2,color_2,1,5.365,color_5|color_3|color_1|color_2|color_7|color_6|color_8|color_4
CDX002,1,1,1,34,color_3,color_1,0,5.595,color_1|color_4|color_8|color_7|color_6|color_3|color_2|color_5
CDX002,1,1,1,35,color_5,color_5,1,3.7464,color_8|color_7|color_6|color_4|color_1|color_2|color_5|color_3
CDX002,1,1,1,36,color_4,color_3,0,3.9694,color_7|color_6|color_4|color_3|color_5|color_2|color_8|color_1
CDX002,1,1,1,37,color_3,color_3,1,5.3564,color_7|color_6|color_4|color_3|color_1|color_5|color_8|color_2
CDX002,1,1,1,38,color_7,color_8,0,4.0456,color_2|color_1|color_4|color_8|color_3|color_6|color_5|color_7
CDX002,1,1,1,39,color_6,color_6,1,1.9648,color_4|color_8|color_2|color_7|color_6|color_1|color_5|color_3
CDX002,1,1,1,40,color_2,color_2,1,5.7987,color_5|color_7|color_4|color_1|color_2|color_3|color_6|color_8
CDX002,1,1,1,41,color_2,color_2,1,5.129,color_7|color_1|color_3|color_5|color_4|color_6|color_2|color_8
CDX002,1,1,1,42,color_1,color_1,1,3.5416,color_5|color_2|color_6|color_3|color_7|color_1|color_8|color_4
CDX002,1,1,1,43,color_6,color_6,1,6.1493,color_8|color_3|color_4|color_6|color_2|color_7|color_1|color_5
CDX002,1,1,1,44,color_7,color_7,1,7.0838,color_3|color_1|color_6|color_8|color_4|color_5|color_7|color_2
CDX002,1,1,1,45,color_8,color_8,1,3.4188,color_7|color_8|color_6|color_4|color_2|color_3|color_1|color_5
CDX002,1,1,1,46,color_8,color_7,0,3.168,color_4|color_7|color_1|color_6|color_5|color_8|color_3|color_2
CDX002,1,1,1,47,color_6,color_6,1,2.166,color_4|color_1|color_7|color_5|color_6|color_8|color_3|color_2
CDX002,1,1,1,48,color_3,color_3,1,2.5008,color_3|color_8|color_2|color_1|color_4|color_5|color_7|color_6
CDX002,1,1,1,49,color_4,color_4,1,1.467,color_4|color_2|color_1|color_3|color_5|color_6|color_8|color_7
CDX002,1,1,1,50,color_2,color_2,1,4.6825,color_4|color_6|color_1|color_2|color_5|color_3|color_8|color_7
CDX002,1,1,1,51,color_3,color_3,1,5.9152,color_8|color_4|color_2|color_3|color_7|color_5|color_6|color_1
CDX002,1,1,1,52,color_1,color_1,1,3.1957,color_5|color_2|color_4|color_7|color_3|color_1|color_6|color_8
