Subject,ROI,Analysis_method,Classification_accuracy,N_voxels,Novel_color_error_deg,Reconstruction_error_deg
sub-01,V1,voxelSelect,1.0,56,76.875,9.75
sub-01,V1,zscore,1.0,481,83.25,6.0
sub-01,V2,voxelSelect,1.0,30,85.0,2.375
sub-01,V2,zscore,1.0,362,135.875,6.75
sub-01,V3,voxelSelect,1.0,12,124.125,36.875
sub-01,V3,zscore,1.0,95,64.875,4.125
sub-01,hV4,voxelSelect,1.0,13,126.375,28.625
sub-01,hV4,zscore,1.0,51,97.125,14.75
sub-02,V1,voxelSelect,1.0,76,85.0,4.25
sub-02,V1,zscore,1.0,418,80.875,62.625
sub-02,V2,voxelSelect,1.0,48,85.875,14.125
sub-02,V2,zscore,1.0,327,71.5,7.25
sub-02,V3,voxelSelect,1.0,13,70.125,4.5
sub-02,V3,zscore,1.0,74,42.375,4.625
sub-02,hV4,zscore,1.0,44,64.5,3.625
sub-03,V1,voxelSelect,1.0,83,93.375,21.625
sub-03,V1,zscore,1.0,503,92.875,51.125
sub-03,V2,voxelSelect,1.0,85,49.625,8.875
sub-03,V2,zscore,1.0,357,72.75,6.0
sub-03,V3,voxelSelect,1.0,13,105.25,23.25
sub-03,V3,zscore,1.0,100,122.0,77.625
sub-03,hV4,zscore,1.0,58,71.375,9.5
sub-04,V1,voxelSelect,1.0,84,125.75,24.0
sub-04,V1,zscore,1.0,529,113.125,30.0
sub-04,V2,voxelSelect,1.0,30,55.125,13.875
sub-04,V2,zscore,1.0,239,58.125,4.375
sub-04,V3,voxelSelect,1.0,26,76.875,50.25
sub-04,V3,zscore,1.0,82,75.5,5.125
sub-04,hV4,voxelSelect,1.0,11,117.0,77.0
sub-04,hV4,zscore,1.0,40,112.0,29.5
