ROI,Subject,N_voxels,Optimal_delay_TRs,Classification_accuracy,Reconstruction_error_deg,Novel_color_error_deg
V1,01,481,5,1.0,0.875,55.0
V1,02,418,5,1.0,1.625,88.5
V1,03,503,3,1.0,0.875,99.25
V1,04,529,3,1.0,4.5,89.875
V2,01,362,3,1.0,3.5,116.0
V2,02,327,1,1.0,1.25,81.125
V2,03,357,2,1.0,1.875,58.625
V2,04,239,2,1.0,1.25,73.0
V3,01,95,4,1.0,1.875,65.875
V3,02,74,2,1.0,1.75,49.875
V3,03,100,2,1.0,2.125,122.625
V3,04,82,3,1.0,1.625,74.5
hV4,01,51,5,1.0,3.75,109.625
hV4,02,44,1,1.0,2.75,65.75
hV4,03,58,3,1.0,4.0,73.625
hV4,04,40,3,1.0,3.125,108.75
