,,Classification_accuracy,Classification_accuracy,Novel_color_error_deg,Novel_color_error_deg,Reconstruction_error_deg,Reconstruction_error_deg,Classification_accuracy,Reconstruction_error_deg,Novel_color_error_deg
Method,,voxelSelect,zScore,voxelSelect,zScore,voxelSelect,zScore,Improvement,Improvement,Improvement
Subject,ROI,,,,,,,,,
sub-01,V1,1.0,1.0,76.875,83.25,9.75,6.0,0.0,-3.75,6.375
sub-01,V2,1.0,1.0,85.0,135.875,2.375,6.75,0.0,4.375,50.875
sub-01,V3,1.0,1.0,124.125,64.875,36.875,4.125,0.0,-32.75,-59.25
sub-01,hV4,1.0,1.0,126.375,97.125,28.625,14.75,0.0,-13.875,-29.25
sub-02,V1,1.0,1.0,85.0,80.875,4.25,62.625,0.0,58.375,-4.125
sub-02,V2,1.0,1.0,85.875,71.5,14.125,7.25,0.0,-6.875,-14.375
sub-02,V3,1.0,1.0,70.125,42.375,4.5,4.625,0.0,0.125,-27.75
sub-02,hV4,,1.0,,64.5,,3.625,,,
sub-03,V1,1.0,1.0,93.375,92.875,21.625,51.125,0.0,29.5,-0.5
sub-03,V2,1.0,1.0,49.625,72.75,8.875,6.0,0.0,-2.875,23.125
sub-03,V3,1.0,1.0,105.25,122.0,23.25,77.625,0.0,54.375,16.75
sub-03,hV4,,1.0,,71.375,,9.5,,,
sub-04,V1,1.0,1.0,125.75,113.125,24.0,30.0,0.0,6.0,-12.625
sub-04,V2,1.0,1.0,55.125,58.125,13.875,4.375,0.0,-9.5,3.0
sub-04,V3,1.0,1.0,76.875,75.5,50.25,5.125,0.0,-45.125,-1.375
sub-04,hV4,1.0,1.0,117.0,112.0,77.0,29.5,0.0,-47.5,-5.0
